BOM_ID,Material_ID,Downstream_Material_ID,Required_Qty
BOM0001,MID0001,MID0002,5
BOM0002,MID0020,MID0002,4
BOM0003,MID0025,MID0002,4
BOM0004,MID0020,MID0003,7
BOM0005,MID0025,MID0003,4
BOM0006,MID0007,MID0005,8
BOM0007,MID0020,MID0005,5
BOM0008,MID0012,MID0006,1
BOM0009,MID0022,MID0006,3
BOM0010,MID0023,MID0006,1
BOM0011,MID0024,MID0006,2
BOM0012,MID0001,MID0011,6
BOM0013,MID0020,MID0011,5
BOM0014,MID0003,MID0012,2
BOM0015,MID0011,MID0012,1
BOM0016,MID0014,MID0012,2
BOM0017,MID0017,MID0012,6
BOM0018,MID0004,MID0013,5
BOM0019,MID0020,MID0013,6
BOM0020,MID0010,MID0014,4
BOM0021,MID0020,MID0014,9
BOM0022,MID0017,MID0015,7
BOM0023,MID0020,MID0015,6
BOM0024,MID0016,MID0018,4
BOM0025,MID0020,MID0018,5
BOM0026,MID0008,MID0021,6
BOM0027,MID0020,MID0021,4
BOM0028,MID0001,MID0022,4
BOM0029,MID0004,MID0022,6
BOM0030,MID0005,MID0022,2
BOM0031,MID0018,MID0022,1
BOM0032,MID0002,MID0023,1
BOM0033,MID0007,MID0023,8
BOM0034,MID0008,MID0023,4
BOM0035,MID0021,MID0023,3
BOM0036,MID0010,MID0024,5
BOM0037,MID0013,MID0024,2
BOM0038,MID0015,MID0024,2
BOM0039,MID0016,MID0024,6
