Material_ID,Material_Name,Total_Purchase_Amount,Lower_Spec_Limit,Upper_Spec_Limit,Is_Critical_Material,Material_Cost,Is_Standard_Part,Is_Equivalent_Material,Is_Final_Product
MID0001,低噪声电源滤波器,43734.03,407.0657,447.9992,0,487.8322,1,0,0
MID0002,滤波固定组件,933475.58,334.4346,346.3666,0,400.6488,1,0,0
MID0003,屏蔽固定组件,764354.3,268.8643,347.062,0,266.3107,0,0,0
MID0004,铝合金侧板,98382.94,366.5403,460.2777,0,273.8703,1,0,0
MID0005,接口支撑组件,736732.85,121.6991,312.631,0,329.0891,1,0,0
MID0006,机载数据采集控制盒总成,850295.58,387.168,465.2575,0,148.4092,1,0,1
MID0007,加强支架,926295.83,117.1186,478.296,1,373.552,0,0,0
MID0008,屏蔽线缆,814381.6,436.9884,454.1964,1,60.1489,0,0,0
MID0009,加强支架（替代料）,999434.83,237.9254,354.6303,0,424.1486,0,1,0
MID0010,航空插座,362921.22,196.4162,407.8716,1,458.1555,1,0,0
MID0011,电源连接组件,673356.79,265.4524,436.5139,1,321.8748,0,0,0
MID0012,主控处理模块,813550.38,485.0238,492.2141,1,309.733,1,0,0
MID0013,侧板组件,235844.46,341.182,489.5345,1,79.0959,1,0,0
MID0014,插座安装组件,305124.04,31.8622,418.8537,0,42.7891,1,0,0
MID0015,减振安装组件,703988.42,421.4943,479.9474,0,416.1256,0,0,0
MID0016,接地铜带,164531.42,32.6984,278.5033,0,374.5833,1,0,0
MID0017,减振垫,540476.59,198.8954,216.6668,1,345.4912,0,0,0
MID0018,接地散热组件,644833.26,272.3234,396.5483,0,333.3539,1,0,0
MID0019,加强支架（替代料）,196394.17,448.414,478.3285,0,413.0832,0,1,0
MID0020,不锈钢紧固件包,931272.21,331.2405,425.7301,0,76.5303,0,0,0
MID0021,外部线束组件,970553.96,411.8398,452.6049,0,470.8121,0,0,0
MID0022,电源防护模块,33569.67,393.7448,394.4773,0,34.7462,0,0,0
MID0023,外部接入模块,904757.61,16.7378,115.786,0,233.6214,1,0,0
MID0024,机箱安装总成,500166.16,13.4018,105.0901,0,24.8344,1,0,0
MID0025,安装压板,275518.29,393.285,462.9143,1,2.7692,0,0,0
