Order_ID,Purchasing_Supplier_ID,Purchased_Material_ID,Supplying_Supplier_ID,Theoretical_Capacity,Purchase_Quantity,Material_Unit_Price,Order_Amount,Order_Create_Date,Order_Delivery_Date,Promised_Delivery_Date,Defective_Quantity,Incoming_Total_Qty,Material_Inspection_Indicator,Actual_Settlement_Amount,Is_Qualified_Supplier,Is_Returned,Is_Delayed,Delayed_Delivery_Cost
OID0001,SID0006,MID0010,SID0012,649,170,15.55,2643.5,2025/01/01,2025/01/04,2025/01/06,0,172,365.7617,2674.6,1,0,0,0
OID0002,SID0006,MID0010,SID0005,1359,170,15.55,2643.5,2025/01/01,2025/01/05,2025/01/06,0,172,325.1778,2674.6,1,0,0,0
OID0003,SID0019,MID0015,SID0007,1077,150,131.21,19681.5,2025/01/01,2025/01/05,2025/01/07,10,142,444.8412,18631.82,0,1,0,0
OID0004,SID0021,MID0004,SID0010,1597,350,2.04,714.0,2025/01/01,2025/01/05,2025/01/06,0,354,376.3468,722.16,1,0,0,0
OID0005,SID0013,MID0020,SID0014,823,720,5.83,4197.6,2025/01/01,2025/01/06,2025/01/06,0,728,369.7318,4244.24,1,0,0,0
OID0006,SID0011,MID0020,SID0010,1658,1608,6.17,9921.36,2025/01/01,2025/01/07,2025/01/08,0,1625,414.0981,10026.25,0,0,0,0
OID0007,SID0011,MID0025,SID0010,1578,270,2.91,785.7,2025/01/01,2025/01/08,2025/01/07,0,273,399.7878,794.43,1,0,1,1.02
OID0008,SID0019,MID0013,SID0018,550,140,70.95,9933.0,2025/01/01,2025/01/08,2025/01/09,0,142,483.3676,10074.9,1,0,0,0
OID0009,SID0011,MID0001,SID0001,1139,216,4.89,1056.24,2025/01/01,2025/01/09,2025/01/07,0,219,407.6222,1070.91,1,0,1,3.42
OID0010,SID0002,MID0025,SID0010,1457,360,3.06,1101.6,2025/01/01,2025/01/11,2025/01/13,0,364,455.0413,1113.84,1,0,0,0
OID0011,SID0004,MID0020,SID0014,715,320,6.15,1968.0,2025/01/01,2025/01/11,2025/01/07,0,324,369.4579,1992.6,1,0,1,8.61
OID0012,SID0007,MID0017,SID0012,1912,1776,7.2,12787.2,2025/01/01,2025/01/11,2025/01/07,0,1794,209.8409,12916.8,0,0,1,10.08
OID0013,SID0013,MID0016,SID0009,1387,540,14.37,7759.8,2025/01/01,2025/01/11,2025/01/13,0,546,92.1374,7846.02,1,0,0,0
OID0014,SID0018,MID0007,SID0010,1445,225,14.35,3228.75,2025/01/01,2025/01/11,2025/01/13,0,228,273.9181,3271.8,1,0,0,0
OID0015,SID0002,MID0001,SID0001,959,330,4.89,1613.7,2025/01/01,2025/01/12,2025/01/13,0,334,417.9329,1633.26,1,0,0,0
OID0016,SID0008,MID0022,SID0017,605,40,947.24,37889.6,2025/01/01,2025/01/12,2025/01/14,0,41,394.0756,38836.84,0,0,0,0
OID0017,SID0011,MID0007,SID0014,886,528,13.65,7207.2,2025/01/01,2025/01/12,2025/01/09,0,534,346.3113,7289.1,1,0,1,14.33
OID0018,SID0013,MID0016,SID0012,763,360,14.34,5162.4,2025/01/01,2025/01/12,2025/01/13,0,364,241.2009,5219.76,1,0,0,0
OID0019,SID0018,MID0008,SID0016,804,216,16.37,3535.92,2025/01/01,2025/01/12,2025/01/10,0,219,439.9899,3585.03,1,0,1,11.46
OID0020,SID0006,MID0020,SID0014,1057,930,5.84,5431.2,2025/01/01,2025/01/13,2025/01/13,0,940,408.4991,5489.6,0,0,0,0
OID0021,SID0007,MID0020,SID0014,1353,1248,6.16,7687.68,2025/01/01,2025/01/13,2025/01/10,0,1261,375.3842,7767.76,1,0,1,6.47
OID0022,SID0021,MID0005,SID0004,929,54,220.11,11885.94,2025/01/01,2025/01/13,2025/01/15,0,55,123.8119,12106.05,1,0,0,0
OID0023,SID0008,MID0024,SID0019,571,54,910.32,49157.28,2025/01/01,2025/01/14,2025/01/13,0,55,45.4731,50067.6,1,0,1,318.61
