Supplier_Activated_Network_ID,Supplier_ID,Supplier_down_ID
SANID0001,SID0001,SID0002
SANID0002,SID0001,SID0011
SANID0003,SID0001,SID0017
SANID0004,SID0001,SID0021
SANID0005,SID0002,SID0018
SANID0006,SID0003,SID0004
SANID0007,SID0003,SID0015
SANID0008,SID0003,SID0018
SANID0009,SID0004,SID0021
SANID0010,SID0005,SID0006
SANID0011,SID0006,SID0020
SANID0012,SID0007,SID0019
SANID0013,SID0009,SID0013
SANID0014,SID0009,SID0020
SANID0015,SID0010,SID0002
SANID0016,SID0010,SID0011
SANID0017,SID0010,SID0015
SANID0018,SID0010,SID0018
SANID0019,SID0010,SID0021
SANID0020,SID0011,SID0017
SANID0021,SID0011,SID0018
SANID0022,SID0011,SID0020
SANID0023,SID0012,SID0006
SANID0024,SID0012,SID0007
SANID0025,SID0012,SID0011
SANID0026,SID0012,SID0013
SANID0027,SID0012,SID0019
SANID0028,SID0013,SID0017
SANID0029,SID0013,SID0019
SANID0030,SID0013,SID0021
SANID0031,SID0014,SID0004
SANID0032,SID0014,SID0006
SANID0033,SID0014,SID0007
SANID0034,SID0014,SID0011
SANID0035,SID0014,SID0013
SANID0036,SID0014,SID0015
SANID0037,SID0014,SID0017
SANID0038,SID0014,SID0018
SANID0039,SID0015,SID0020
SANID0040,SID0015,SID0021
SANID0041,SID0016,SID0018
SANID0042,SID0017,SID0008
SANID0043,SID0018,SID0008
SANID0044,SID0018,SID0019
SANID0045,SID0019,SID0008
SANID0046,SID0020,SID0008
SANID0047,SID0021,SID0008
SANID0048,SID0021,SID0019
