Supplier_Daily_Inventory_ID,Supplier_ID,Purchased_Material_ID,Inventory_Qty,Inventory_Date
SDII000001,SID0002,MID0001,154,2025/01/01
SDII000002,SID0002,MID0001,138,2025/01/02
SDII000003,SID0002,MID0001,114,2025/01/03
SDII000004,SID0002,MID0001,108,2025/01/04
SDII000005,SID0002,MID0001,108,2025/01/05
SDII000006,SID0002,MID0001,108,2025/01/06
SDII000007,SID0002,MID0001,80,2025/01/07
SDII000008,SID0002,MID0001,44,2025/01/08
SDII000009,SID0002,MID0001,44,2025/01/09
SDII000010,SID0002,MID0001,44,2025/01/10
SDII000011,SID0002,MID0001,44,2025/01/11
SDII000012,SID0002,MID0001,44,2025/01/12
SDII000013,SID0002,MID0001,378,2025/01/13
SDII000014,SID0002,MID0001,356,2025/01/14
SDII000015,SID0002,MID0001,349,2025/01/15
SDII000016,SID0002,MID0001,334,2025/01/16
SDII000017,SID0002,MID0001,310,2025/01/17
SDII000018,SID0002,MID0001,302,2025/01/18
SDII000019,SID0002,MID0001,302,2025/01/19
SDII000020,SID0002,MID0001,302,2025/01/20
SDII000021,SID0002,MID0001,276,2025/01/21
SDII000022,SID0002,MID0001,266,2025/01/22
SDII000023,SID0002,MID0001,234,2025/01/23
SDII000024,SID0002,MID0001,234,2025/01/24
SDII000025,SID0002,MID0001,234,2025/01/25
SDII000026,SID0002,MID0001,234,2025/01/26
SDII000027,SID0002,MID0001,234,2025/01/27
SDII000028,SID0002,MID0001,234,2025/01/28
SDII000029,SID0002,MID0001,221,2025/01/29
SDII000030,SID0002,MID0001,168,2025/01/30
SDII000031,SID0002,MID0001,168,2025/01/31
SDII000032,SID0002,MID0001,168,2025/02/01
SDII000033,SID0002,MID0001,391,2025/02/02
SDII000034,SID0002,MID0001,391,2025/02/03
SDII000035,SID0002,MID0001,391,2025/02/04
SDII000036,SID0002,MID0001,391,2025/02/05
SDII000037,SID0002,MID0001,343,2025/02/06
SDII000038,SID0002,MID0001,329,2025/02/07
SDII000039,SID0002,MID0001,316,2025/02/08
SDII000040,SID0002,MID0001,316,2025/02/09
SDII000041,SID0002,MID0001,316,2025/02/10
SDII000042,SID0002,MID0001,296,2025/02/11
SDII000043,SID0002,MID0001,273,2025/02/12
SDII000044,SID0002,MID0001,256,2025/02/13
SDII000045,SID0002,MID0001,236,2025/02/14
SDII000046,SID0002,MID0001,234,2025/02/15
SDII000047,SID0002,MID0001,234,2025/02/16
SDII000048,SID0002,MID0001,234,2025/02/17
SDII000049,SID0002,MID0001,218,2025/02/18
SDII000050,SID0002,MID0001,167,2025/02/19
SDII000051,SID0002,MID0001,156,2025/02/20
SDII000052,SID0002,MID0001,156,2025/02/21
SDII000053,SID0002,MID0001,379,2025/02/22
SDII000054,SID0002,MID0001,379,2025/02/23
SDII000055,SID0002,MID0001,379,2025/02/24
SDII000056,SID0002,MID0001,379,2025/02/25
SDII000057,SID0002,MID0001,379,2025/02/26
SDII000058,SID0002,MID0001,369,2025/02/27
SDII000059,SID0002,MID0001,294,2025/02/28
SDII000060,SID0002,MID0001,294,2025/03/01
SDII000061,SID0002,MID0001,294,2025/03/02
SDII000062,SID0002,MID0001,294,2025/03/03
SDII000063,SID0002,MID0001,288,2025/03/04
SDII000064,SID0002,MID0001,262,2025/03/05
SDII000065,SID0002,MID0001,245,2025/03/06
SDII000066,SID0002,MID0001,222,2025/03/07
SDII000067,SID0002,MID0001,218,2025/03/08
SDII000068,SID0002,MID0001,218,2025/03/09
SDII000069,SID0002,MID0001,218,2025/03/10
SDII000070,SID0002,MID0001,194,2025/03/11
SDII000071,SID0002,MID0001,182,2025/03/12
SDII000072,SID0002,MID0001,156,2025/03/13
SDII000073,SID0002,MID0001,352,2025/03/14
SDII000074,SID0002,MID0001,352,2025/03/15
SDII000075,SID0002,MID0001,352,2025/03/16
SDII000076,SID0002,MID0001,352,2025/03/17
SDII000077,SID0002,MID0001,327,2025/03/18
SDII000078,SID0002,MID0001,299,2025/03/19
SDII000079,SID0002,MID0001,296,2025/03/20
