Supplier_Emergency_Incident_ID,Supplier_ID,Emergency_Incident_ID
SEIID0001,SID0003,EIID0004
SEIID0002,SID0003,EIID0005
SEIID0003,SID0003,EIID0008
SEIID0004,SID0003,EIID0013
SEIID0005,SID0003,EIID0020
SEIID0006,SID0004,EIID0002
SEIID0007,SID0004,EIID0006
SEIID0008,SID0004,EIID0007
SEIID0009,SID0004,EIID0010
SEIID0010,SID0004,EIID0011
SEIID0011,SID0005,EIID0012
SEIID0012,SID0010,EIID0001
SEIID0013,SID0010,EIID0015
SEIID0014,SID0010,EIID0019
SEIID0015,SID0011,EIID0016
SEIID0016,SID0011,EIID0018
SEIID0017,SID0014,EIID0014
SEIID0018,SID0021,EIID0003
SEIID0019,SID0021,EIID0009
SEIID0020,SID0021,EIID0017
