Supplier_Input_Material_ID,Supplier_ID,Input_Material_ID,Supply_Mode
SIIMID0001,SID0002,MID0001,external
SIIMID0002,SID0002,MID0020,external
SIIMID0003,SID0002,MID0025,external
SIIMID0004,SID0004,MID0007,external
SIIMID0005,SID0004,MID0020,external
SIIMID0006,SID0006,MID0010,external
SIIMID0007,SID0006,MID0020,external
SIIMID0008,SID0007,MID0017,external
SIIMID0009,SID0007,MID0020,external
SIIMID0010,SID0008,MID0012,external
SIIMID0011,SID0008,MID0022,external
SIIMID0012,SID0008,MID0023,external
SIIMID0013,SID0008,MID0024,external
SIIMID0014,SID0011,MID0001,external
SIIMID0015,SID0011,MID0007,external
SIIMID0016,SID0011,MID0008,external
SIIMID0017,SID0011,MID0020,external
SIIMID0018,SID0011,MID0025,external
SIIMID0019,SID0013,MID0016,external
SIIMID0020,SID0013,MID0017,external
SIIMID0021,SID0013,MID0020,external
SIIMID0022,SID0015,MID0007,external
SIIMID0023,SID0015,MID0020,external
SIIMID0024,SID0015,MID0025,external
SIIMID0025,SID0017,MID0001,external
SIIMID0026,SID0017,MID0004,external
SIIMID0027,SID0017,MID0005,external
SIIMID0028,SID0017,MID0018,external
SIIMID0029,SID0018,MID0002,external
SIIMID0030,SID0018,MID0004,external
SIIMID0031,SID0018,MID0007,external
SIIMID0032,SID0018,MID0008,external
SIIMID0033,SID0018,MID0020,external
SIIMID0034,SID0018,MID0021,external
SIIMID0035,SID0019,MID0010,external
SIIMID0036,SID0019,MID0013,external
SIIMID0037,SID0019,MID0015,external
SIIMID0038,SID0019,MID0016,external
SIIMID0039,SID0020,MID0003,external
SIIMID0040,SID0020,MID0011,external
SIIMID0041,SID0020,MID0014,external
SIIMID0042,SID0020,MID0017,external
SIIMID0043,SID0021,MID0001,external
SIIMID0044,SID0021,MID0004,external
SIIMID0045,SID0021,MID0005,external
SIIMID0046,SID0021,MID0018,external
