Supplier_Licensed_Supply_ID,Purchasing_Supplier_ID,Purchased_Material_ID,Supplying_Supplier_ID
SLSID0001,SID0002,MID0001,SID0001
SLSID0002,SID0002,MID0020,SID0010
SLSID0003,SID0002,MID0025,SID0010
SLSID0004,SID0004,MID0001,SID0001
SLSID0005,SID0004,MID0007,SID0003
SLSID0006,SID0004,MID0020,SID0014
SLSID0007,SID0006,MID0004,SID0010
SLSID0008,SID0006,MID0010,SID0005
SLSID0009,SID0006,MID0010,SID0012
SLSID0010,SID0006,MID0020,SID0014
SLSID0011,SID0007,MID0016,SID0021
SLSID0012,SID0007,MID0017,SID0012
SLSID0013,SID0007,MID0020,SID0014
SLSID0014,SID0008,MID0012,SID0020
SLSID0015,SID0008,MID0022,SID0017
SLSID0016,SID0008,MID0022,SID0021
SLSID0017,SID0008,MID0023,SID0018
SLSID0018,SID0008,MID0024,SID0019
SLSID0019,SID0011,MID0001,SID0001
SLSID0020,SID0011,MID0007,SID0010
SLSID0021,SID0011,MID0007,SID0014
SLSID0022,SID0011,MID0008,SID0012
SLSID0023,SID0011,MID0020,SID0010
SLSID0024,SID0011,MID0025,SID0010
SLSID0025,SID0013,MID0004,SID0003
SLSID0026,SID0013,MID0010,SID0005
SLSID0027,SID0013,MID0010,SID0017
SLSID0028,SID0013,MID0016,SID0009
SLSID0029,SID0013,MID0016,SID0012
SLSID0030,SID0013,MID0017,SID0009
SLSID0031,SID0013,MID0020,SID0014
SLSID0032,SID0015,MID0001,SID0001
SLSID0033,SID0015,MID0007,SID0003
SLSID0034,SID0015,MID0008,SID0005
SLSID0035,SID0015,MID0008,SID0016
SLSID0036,SID0015,MID0020,SID0014
SLSID0037,SID0015,MID0025,SID0010
SLSID0038,SID0016,MID0002,SID0002
SLSID0039,SID0016,MID0003,SID0011
SLSID0040,SID0016,MID0007,SID0003
SLSID0041,SID0016,MID0007,SID0010
SLSID0042,SID0016,MID0008,SID0016
SLSID0043,SID0016,MID0011,SID0004
SLSID0044,SID0016,MID0014,SID0006
SLSID0045,SID0016,MID0014,SID0019
SLSID0046,SID0016,MID0017,SID0012
SLSID0047,SID0016,MID0021,SID0011
SLSID0048,SID0017,MID0001,SID0001
SLSID0049,SID0017,MID0004,SID0014
SLSID0050,SID0017,MID0005,SID0011
SLSID0051,SID0017,MID0010,SID0017
SLSID0052,SID0017,MID0013,SID0006
SLSID0053,SID0017,MID0013,SID0018
SLSID0054,SID0017,MID0015,SID0020
SLSID0055,SID0017,MID0016,SID0009
SLSID0056,SID0017,MID0018,SID0013
SLSID0057,SID0018,MID0002,SID0002
SLSID0058,SID0018,MID0004,SID0014
SLSID0059,SID0018,MID0007,SID0003
SLSID0060,SID0018,MID0007,SID0010
SLSID0061,SID0018,MID0008,SID0016
SLSID0062,SID0018,MID0020,SID0014
SLSID0063,SID0018,MID0021,SID0011
SLSID0064,SID0019,MID0010,SID0012
SLSID0065,SID0019,MID0013,SID0018
SLSID0066,SID0019,MID0015,SID0007
SLSID0067,SID0019,MID0015,SID0013
SLSID0068,SID0019,MID0016,SID0021
SLSID0069,SID0019,MID0020,SID0010
SLSID0070,SID0020,MID0003,SID0011
SLSID0071,SID0020,MID0003,SID0015
SLSID0072,SID0020,MID0011,SID0011
SLSID0073,SID0020,MID0014,SID0006
SLSID0074,SID0020,MID0017,SID0009
SLSID0075,SID0020,MID0020,SID0010
SLSID0076,SID0021,MID0001,SID0001
SLSID0077,SID0021,MID0004,SID0010
SLSID0078,SID0021,MID0005,SID0004
SLSID0079,SID0021,MID0005,SID0015
SLSID0080,SID0021,MID0018,SID0013
