Supplier_Material_Flow_Event_ID,Supplier_ID,Material_ID,Event_Date,Event_Type,Quantity_Change,Source_Type,Source_ID
SMFEID0001,SID0002,MID0001,2025/01/01,production_consumption,-16,production_run,PRUN_SID0002_MID0001_001
SMFEID0002,SID0002,MID0020,2025/01/01,production_consumption,-2,production_run,PRUN_SID0002_MID0020_001
SMFEID0003,SID0002,MID0025,2025/01/01,production_consumption,-4,production_run,PRUN_SID0002_MID0025_001
SMFEID0004,SID0004,MID0020,2025/01/01,production_consumption,-18,production_run,PRUN_SID0004_MID0020_001
SMFEID0005,SID0006,MID0010,2025/01/01,production_consumption,-18,production_run,PRUN_SID0006_MID0010_001
SMFEID0006,SID0006,MID0020,2025/01/01,production_consumption,-66,production_run,PRUN_SID0006_MID0020_001
SMFEID0007,SID0007,MID0017,2025/01/01,production_consumption,-26,production_run,PRUN_SID0007_MID0017_001
SMFEID0008,SID0011,MID0001,2025/01/01,production_consumption,-10,production_run,PRUN_SID0011_MID0001_001
SMFEID0009,SID0011,MID0007,2025/01/01,production_consumption,-13,production_run,PRUN_SID0011_MID0007_001
SMFEID0010,SID0011,MID0020,2025/01/01,production_consumption,-222,production_run,PRUN_SID0011_MID0020_001
SMFEID0011,SID0011,MID0025,2025/01/01,production_consumption,-19,production_run,PRUN_SID0011_MID0025_001
SMFEID0012,SID0013,MID0016,2025/01/01,production_consumption,-34,production_run,PRUN_SID0013_MID0016_001
SMFEID0013,SID0015,MID0007,2025/01/01,production_consumption,-82,production_run,PRUN_SID0015_MID0007_001
SMFEID0014,SID0018,MID0004,2025/01/01,production_consumption,-34,production_run,PRUN_SID0018_MID0004_001
SMFEID0015,SID0018,MID0007,2025/01/01,production_consumption,-1,production_run,PRUN_SID0018_MID0007_001
SMFEID0016,SID0018,MID0020,2025/01/01,production_consumption,-69,production_run,PRUN_SID0018_MID0020_001
SMFEID0017,SID0019,MID0010,2025/01/01,production_consumption,-17,production_run,PRUN_SID0019_MID0010_001
SMFEID0018,SID0019,MID0016,2025/01/01,production_consumption,-43,production_run,PRUN_SID0019_MID0016_001
SMFEID0019,SID0021,MID0001,2025/01/01,production_consumption,-5,production_run,PRUN_SID0021_MID0001_001
SMFEID0020,SID0021,MID0004,2025/01/01,production_consumption,-30,production_run,PRUN_SID0021_MID0004_001
SMFEID0021,SID0002,MID0001,2025/01/02,production_consumption,-24,production_run,PRUN_SID0002_MID0001_001
SMFEID0022,SID0002,MID0020,2025/01/02,production_consumption,-33,production_run,PRUN_SID0002_MID0020_001
SMFEID0023,SID0002,MID0025,2025/01/02,production_consumption,-19,production_run,PRUN_SID0002_MID0025_001
SMFEID0024,SID0004,MID0007,2025/01/02,production_consumption,-18,production_run,PRUN_SID0004_MID0007_001
SMFEID0025,SID0004,MID0020,2025/01/02,production_consumption,-50,production_run,PRUN_SID0004_MID0020_001
SMFEID0026,SID0006,MID0010,2025/01/02,production_consumption,-40,production_run,PRUN_SID0006_MID0010_001
SMFEID0027,SID0006,MID0020,2025/01/02,production_consumption,-59,production_run,PRUN_SID0006_MID0020_001
SMFEID0028,SID0007,MID0017,2025/01/02,production_consumption,-220,production_run,PRUN_SID0007_MID0017_001
