Supplier_Material_Inventory_Policy_ID,Supplier_ID,Material_ID,Opening_Inventory_Qty,Safety_Stock_Days,Reorder_Point_Days,Target_Cover_Days,Lot_Size_Qty,Lead_Time_Days
SMIPID0001,SID0002,MID0001,154,5,27,38,110,11
SMIPID0002,SID0002,MID0020,139,6,32,45,66,13
SMIPID0003,SID0002,MID0025,147,5,27,38,60,11
SMIPID0004,SID0004,MID0007,433,6,36,51,260,15
SMIPID0005,SID0004,MID0020,175,8,20,26,80,6
SMIPID0006,SID0006,MID0010,168,6,16,21,170,5
SMIPID0007,SID0006,MID0020,581,5,29,41,310,12
SMIPID0008,SID0007,MID0017,742,10,22,28,444,6
SMIPID0009,SID0007,MID0020,611,8,26,35,312,9
SMIPID0010,SID0008,MID0012,30,6,38,54,5,16
SMIPID0011,SID0008,MID0022,58,7,33,46,20,13
SMIPID0012,SID0008,MID0023,36,10,38,52,18,14
SMIPID0013,SID0008,MID0024,54,10,34,46,18,12
SMIPID0014,SID0011,MID0001,126,5,17,23,108,6
SMIPID0015,SID0011,MID0007,230,9,25,33,176,8
SMIPID0016,SID0011,MID0008,654,8,34,47,228,13
SMIPID0017,SID0011,MID0020,693,7,21,28,402,7
SMIPID0018,SID0011,MID0025,89,10,22,28,90,6
SMIPID0019,SID0013,MID0016,311,7,27,37,180,10
SMIPID0020,SID0013,MID0017,1,6,32,45,8,13
SMIPID0021,SID0013,MID0020,356,8,18,23,360,5
SMIPID0022,SID0015,MID0007,1917,8,48,68,756,20
SMIPID0023,SID0015,MID0020,1494,6,44,63,620,19
SMIPID0024,SID0015,MID0025,83,10,42,58,36,16
SMIPID0025,SID0017,MID0001,75,8,38,53,45,15
SMIPID0026,SID0017,MID0004,95,6,44,63,80,19
SMIPID0027,SID0017,MID0005,292,7,21,28,18,7
SMIPID0028,SID0017,MID0018,41,8,46,65,12,19
SMIPID0029,SID0018,MID0002,51,9,47,66,20,19
SMIPID0030,SID0018,MID0004,976,5,45,65,252,20
SMIPID0031,SID0018,MID0007,203,5,27,38,75,11
SMIPID0032,SID0018,MID0008,121,6,24,33,72,9
SMIPID0033,SID0018,MID0020,834,7,41,58,200,17
SMIPID0034,SID0018,MID0021,136,6,46,66,63,20
SMIPID0035,SID0019,MID0010,251,5,33,47,98,14
SMIPID0036,SID0019,MID0013,78,7,23,31,70,8
SMIPID0037,SID0019,MID0015,18,10,22,28,30,6
SMIPID0038,SID0019,MID0016,444,8,44,62,168,18
SMIPID0039,SID0020,MID0003,1,6,34,48,24,14
SMIPID0040,SID0020,MID0011,52,9,47,66,20,19
SMIPID0041,SID0020,MID0014,52,5,45,65,24,20
SMIPID0042,SID0020,MID0017,126,7,39,55,63,16
SMIPID0043,SID0021,MID0001,321,9,47,66,98,19
SMIPID0044,SID0021,MID0004,247,6,16,21,175,5
SMIPID0045,SID0021,MID0005,140,9,37,51,54,14
SMIPID0046,SID0021,MID0018,75,7,27,37,30,10
