Supplier_Material_ID,Material_ID,Supplier_ID
SMID0001,MID0001,SID0001
SMID0002,MID0002,SID0002
SMID0003,MID0003,SID0002
SMID0004,MID0004,SID0003
SMID0005,MID0007,SID0003
SMID0006,MID0005,SID0004
SMID0007,MID0011,SID0004
SMID0008,MID0008,SID0005
SMID0009,MID0010,SID0005
SMID0010,MID0013,SID0006
SMID0011,MID0014,SID0006
SMID0012,MID0015,SID0007
SMID0013,MID0018,SID0007
SMID0014,MID0006,SID0008
SMID0015,MID0016,SID0009
SMID0016,MID0017,SID0009
SMID0017,MID0004,SID0010
SMID0018,MID0007,SID0010
SMID0019,MID0020,SID0010
SMID0020,MID0025,SID0010
SMID0021,MID0003,SID0011
SMID0022,MID0005,SID0011
SMID0023,MID0011,SID0011
SMID0024,MID0021,SID0011
SMID0025,MID0008,SID0012
SMID0026,MID0010,SID0012
SMID0027,MID0016,SID0012
SMID0028,MID0017,SID0012
SMID0029,MID0013,SID0013
SMID0030,MID0014,SID0013
SMID0031,MID0015,SID0013
SMID0032,MID0018,SID0013
SMID0033,MID0004,SID0014
SMID0034,MID0007,SID0014
SMID0035,MID0020,SID0014
SMID0036,MID0025,SID0014
SMID0037,MID0003,SID0015
SMID0038,MID0005,SID0015
SMID0039,MID0011,SID0015
SMID0040,MID0021,SID0015
SMID0041,MID0008,SID0016
SMID0042,MID0012,SID0016
SMID0043,MID0023,SID0016
SMID0044,MID0010,SID0017
SMID0045,MID0022,SID0017
SMID0046,MID0024,SID0017
SMID0047,MID0013,SID0018
SMID0048,MID0023,SID0018
SMID0049,MID0014,SID0019
SMID0050,MID0024,SID0019
SMID0051,MID0012,SID0020
SMID0052,MID0015,SID0020
SMID0053,MID0016,SID0021
SMID0054,MID0022,SID0021
