Supplier_Network_ID,Supplier_ID,Supplier_down_ID
SNID0001,SID0001,SID0002
SNID0002,SID0001,SID0004
SNID0003,SID0001,SID0011
SNID0004,SID0001,SID0015
SNID0005,SID0001,SID0017
SNID0006,SID0001,SID0021
SNID0007,SID0002,SID0016
SNID0008,SID0002,SID0018
SNID0009,SID0002,SID0020
SNID0010,SID0003,SID0004
SNID0011,SID0003,SID0006
SNID0012,SID0003,SID0011
SNID0013,SID0003,SID0013
SNID0014,SID0003,SID0015
SNID0015,SID0003,SID0016
SNID0016,SID0003,SID0017
SNID0017,SID0003,SID0018
SNID0018,SID0003,SID0021
SNID0019,SID0004,SID0016
SNID0020,SID0004,SID0017
SNID0021,SID0004,SID0020
SNID0022,SID0004,SID0021
SNID0023,SID0005,SID0006
SNID0024,SID0005,SID0011
SNID0025,SID0005,SID0013
SNID0026,SID0005,SID0015
SNID0027,SID0005,SID0016
SNID0028,SID0005,SID0017
SNID0029,SID0005,SID0018
SNID0030,SID0005,SID0019
SNID0031,SID0006,SID0016
SNID0032,SID0006,SID0017
SNID0033,SID0006,SID0019
SNID0034,SID0006,SID0020
SNID0035,SID0007,SID0017
SNID0036,SID0007,SID0019
SNID0037,SID0007,SID0021
SNID0038,SID0009,SID0007
SNID0039,SID0009,SID0013
SNID0040,SID0009,SID0016
SNID0041,SID0009,SID0017
SNID0042,SID0009,SID0019
SNID0043,SID0009,SID0020
SNID0044,SID0010,SID0002
SNID0045,SID0010,SID0004
SNID0046,SID0010,SID0006
SNID0047,SID0010,SID0007
SNID0048,SID0010,SID0011
SNID0049,SID0010,SID0013
SNID0050,SID0010,SID0015
SNID0051,SID0010,SID0016
SNID0052,SID0010,SID0017
SNID0053,SID0010,SID0018
SNID0054,SID0010,SID0019
SNID0055,SID0010,SID0020
SNID0056,SID0010,SID0021
SNID0057,SID0011,SID0016
SNID0058,SID0011,SID0017
SNID0059,SID0011,SID0018
SNID0060,SID0011,SID0020
SNID0061,SID0011,SID0021
SNID0062,SID0012,SID0006
SNID0063,SID0012,SID0007
SNID0064,SID0012,SID0011
SNID0065,SID0012,SID0013
SNID0066,SID0012,SID0015
SNID0067,SID0012,SID0016
SNID0068,SID0012,SID0017
SNID0069,SID0012,SID0018
SNID0070,SID0012,SID0019
SNID0071,SID0012,SID0020
SNID0072,SID0013,SID0016
SNID0073,SID0013,SID0017
SNID0074,SID0013,SID0019
SNID0075,SID0013,SID0020
SNID0076,SID0013,SID0021
SNID0077,SID0014,SID0002
SNID0078,SID0014,SID0004
SNID0079,SID0014,SID0006
SNID0080,SID0014,SID0007
SNID0081,SID0014,SID0011
SNID0082,SID0014,SID0013
SNID0083,SID0014,SID0015
SNID0084,SID0014,SID0016
SNID0085,SID0014,SID0017
SNID0086,SID0014,SID0018
SNID0087,SID0014,SID0019
SNID0088,SID0014,SID0020
SNID0089,SID0014,SID0021
SNID0090,SID0015,SID0016
SNID0091,SID0015,SID0017
SNID0092,SID0015,SID0018
SNID0093,SID0015,SID0020
SNID0094,SID0015,SID0021
SNID0095,SID0016,SID0008
SNID0096,SID0016,SID0011
SNID0097,SID0016,SID0015
SNID0098,SID0016,SID0018
SNID0099,SID0017,SID0006
SNID0100,SID0017,SID0008
SNID0101,SID0017,SID0013
SNID0102,SID0017,SID0019
SNID0103,SID0018,SID0008
SNID0104,SID0018,SID0017
SNID0105,SID0018,SID0019
SNID0106,SID0019,SID0008
SNID0107,SID0019,SID0016
SNID0108,SID0019,SID0020
SNID0109,SID0020,SID0008
SNID0110,SID0020,SID0017
SNID0111,SID0020,SID0019
SNID0112,SID0021,SID0007
SNID0113,SID0021,SID0008
SNID0114,SID0021,SID0013
SNID0115,SID0021,SID0017
SNID0116,SID0021,SID0019
