Supplier_Potential_Supply_ID,Purchasing_Supplier_ID,Purchased_Material_ID,Supplying_Supplier_ID
SPSID0001,SID0002,MID0001,SID0001
SPSID0002,SID0002,MID0020,SID0010
SPSID0003,SID0002,MID0020,SID0014
SPSID0004,SID0002,MID0025,SID0010
SPSID0005,SID0002,MID0025,SID0014
SPSID0006,SID0004,MID0001,SID0001
SPSID0007,SID0004,MID0007,SID0003
SPSID0008,SID0004,MID0007,SID0010
SPSID0009,SID0004,MID0007,SID0014
SPSID0010,SID0004,MID0020,SID0010
SPSID0011,SID0004,MID0020,SID0014
SPSID0012,SID0006,MID0004,SID0003
SPSID0013,SID0006,MID0004,SID0010
SPSID0014,SID0006,MID0004,SID0014
SPSID0015,SID0006,MID0010,SID0005
SPSID0016,SID0006,MID0010,SID0012
SPSID0017,SID0006,MID0010,SID0017
SPSID0018,SID0006,MID0020,SID0010
SPSID0019,SID0006,MID0020,SID0014
SPSID0020,SID0007,MID0016,SID0009
SPSID0021,SID0007,MID0016,SID0012
SPSID0022,SID0007,MID0016,SID0021
SPSID0023,SID0007,MID0017,SID0009
SPSID0024,SID0007,MID0017,SID0012
SPSID0025,SID0007,MID0020,SID0010
SPSID0026,SID0007,MID0020,SID0014
SPSID0027,SID0008,MID0012,SID0016
SPSID0028,SID0008,MID0012,SID0020
SPSID0029,SID0008,MID0022,SID0017
SPSID0030,SID0008,MID0022,SID0021
SPSID0031,SID0008,MID0023,SID0016
SPSID0032,SID0008,MID0023,SID0018
SPSID0033,SID0008,MID0024,SID0017
SPSID0034,SID0008,MID0024,SID0019
SPSID0035,SID0011,MID0001,SID0001
SPSID0036,SID0011,MID0007,SID0003
SPSID0037,SID0011,MID0007,SID0010
SPSID0038,SID0011,MID0007,SID0014
SPSID0039,SID0011,MID0008,SID0005
SPSID0040,SID0011,MID0008,SID0012
SPSID0041,SID0011,MID0008,SID0016
SPSID0042,SID0011,MID0020,SID0010
SPSID0043,SID0011,MID0020,SID0014
SPSID0044,SID0011,MID0025,SID0010
SPSID0045,SID0011,MID0025,SID0014
SPSID0046,SID0013,MID0004,SID0003
SPSID0047,SID0013,MID0004,SID0010
SPSID0048,SID0013,MID0004,SID0014
SPSID0049,SID0013,MID0010,SID0005
SPSID0050,SID0013,MID0010,SID0012
SPSID0051,SID0013,MID0010,SID0017
SPSID0052,SID0013,MID0016,SID0009
SPSID0053,SID0013,MID0016,SID0012
SPSID0054,SID0013,MID0016,SID0021
