Supplier_Production_Plan_ID,Purchasing_Supplier_ID,Purchased_Material_ID,Supplying_Supplier_ID,Purchase_Quantity
SPPID0001,SID0002,MID0001,SID0001,4030
SPPID0002,SID0002,MID0020,SID0010,3338
SPPID0003,SID0002,MID0025,SID0010,3708
SPPID0004,SID0004,MID0007,SID0003,8236
SPPID0005,SID0004,MID0020,SID0014,4661
SPPID0006,SID0006,MID0010,SID0005,3935
SPPID0007,SID0006,MID0010,SID0012,2531
SPPID0008,SID0006,MID0020,SID0014,14787
SPPID0009,SID0007,MID0017,SID0012,22975
SPPID0010,SID0007,MID0020,SID0014,21401
SPPID0011,SID0008,MID0012,SID0020,390
SPPID0012,SID0008,MID0022,SID0017,290
SPPID0013,SID0008,MID0022,SID0021,1034
SPPID0014,SID0008,MID0023,SID0018,434
SPPID0015,SID0008,MID0024,SID0019,826
SPPID0016,SID0011,MID0001,SID0001,4107
SPPID0017,SID0011,MID0007,SID0010,976
SPPID0018,SID0011,MID0007,SID0014,7471
SPPID0019,SID0011,MID0008,SID0012,15797
SPPID0020,SID0011,MID0020,SID0010,24907
SPPID0021,SID0011,MID0025,SID0010,3839
SPPID0022,SID0013,MID0016,SID0009,4973
SPPID0023,SID0013,MID0016,SID0012,4502
SPPID0024,SID0013,MID0017,SID0009,198
SPPID0025,SID0013,MID0020,SID0014,12861
SPPID0026,SID0015,MID0007,SID0003,26736
SPPID0027,SID0015,MID0020,SID0014,20579
SPPID0028,SID0015,MID0025,SID0010,2254
SPPID0029,SID0017,MID0001,SID0001,1689
SPPID0030,SID0017,MID0004,SID0014,2282
SPPID0031,SID0017,MID0005,SID0011,765
SPPID0032,SID0017,MID0018,SID0013,390
SPPID0033,SID0018,MID0002,SID0002,619
SPPID0034,SID0018,MID0004,SID0014,16235
SPPID0035,SID0018,MID0007,SID0003,2500
SPPID0036,SID0018,MID0007,SID0010,2565
SPPID0037,SID0018,MID0008,SID0016,2457
SPPID0038,SID0018,MID0020,SID0014,18594
SPPID0039,SID0018,MID0021,SID0011,1917
SPPID0040,SID0019,MID0010,SID0012,5774
SPPID0041,SID0019,MID0013,SID0018,2276
SPPID0042,SID0019,MID0015,SID0007,2418
SPPID0043,SID0019,MID0015,SID0013,20
SPPID0044,SID0019,MID0016,SID0021,7222
SPPID0045,SID0020,MID0003,SID0011,649
SPPID0046,SID0020,MID0003,SID0015,376
SPPID0047,SID0020,MID0011,SID0011,509
SPPID0048,SID0020,MID0014,SID0006,1167
SPPID0049,SID0020,MID0017,SID0009,3435
SPPID0050,SID0021,MID0001,SID0001,6099
SPPID0051,SID0021,MID0004,SID0010,8757
SPPID0052,SID0021,MID0005,SID0004,693
SPPID0053,SID0021,MID0005,SID0015,2323
SPPID0054,SID0021,MID0018,SID0013,1422
