Supplier_Purchased_Material_ID,Supplier_ID,Purchased_Material_ID
SPMID0001,SID0002,MID0001
SPMID0002,SID0002,MID0020
SPMID0003,SID0002,MID0025
SPMID0004,SID0004,MID0001
SPMID0005,SID0004,MID0007
SPMID0006,SID0004,MID0020
SPMID0007,SID0006,MID0004
SPMID0008,SID0006,MID0010
SPMID0009,SID0006,MID0020
SPMID0010,SID0007,MID0016
SPMID0011,SID0007,MID0017
SPMID0012,SID0007,MID0020
SPMID0013,SID0008,MID0012
SPMID0014,SID0008,MID0022
SPMID0015,SID0008,MID0023
SPMID0016,SID0008,MID0024
SPMID0017,SID0011,MID0001
SPMID0018,SID0011,MID0007
SPMID0019,SID0011,MID0008
SPMID0020,SID0011,MID0020
SPMID0021,SID0011,MID0025
SPMID0022,SID0013,MID0004
SPMID0023,SID0013,MID0010
SPMID0024,SID0013,MID0016
SPMID0025,SID0013,MID0017
SPMID0026,SID0013,MID0020
SPMID0027,SID0015,MID0001
SPMID0028,SID0015,MID0007
SPMID0029,SID0015,MID0008
SPMID0030,SID0015,MID0020
SPMID0031,SID0015,MID0025
SPMID0032,SID0016,MID0002
SPMID0033,SID0016,MID0003
SPMID0034,SID0016,MID0007
SPMID0035,SID0016,MID0008
SPMID0036,SID0016,MID0011
SPMID0037,SID0016,MID0014
SPMID0038,SID0016,MID0017
SPMID0039,SID0016,MID0021
SPMID0040,SID0017,MID0001
SPMID0041,SID0017,MID0004
SPMID0042,SID0017,MID0005
SPMID0043,SID0017,MID0010
SPMID0044,SID0017,MID0013
SPMID0045,SID0017,MID0015
SPMID0046,SID0017,MID0016
SPMID0047,SID0017,MID0018
SPMID0048,SID0018,MID0002
SPMID0049,SID0018,MID0004
SPMID0050,SID0018,MID0007
SPMID0051,SID0018,MID0008
SPMID0052,SID0018,MID0020
SPMID0053,SID0018,MID0021
SPMID0054,SID0019,MID0010
SPMID0055,SID0019,MID0013
SPMID0056,SID0019,MID0015
SPMID0057,SID0019,MID0016
SPMID0058,SID0019,MID0020
SPMID0059,SID0020,MID0003
SPMID0060,SID0020,MID0011
SPMID0061,SID0020,MID0014
SPMID0062,SID0020,MID0017
SPMID0063,SID0020,MID0020
SPMID0064,SID0021,MID0001
SPMID0065,SID0021,MID0004
SPMID0066,SID0021,MID0005
SPMID0067,SID0021,MID0018
