Supplier_Region_ID,Supplier_ID,Region_ID
SRID0001,SID0001,RID0006
SRID0002,SID0002,RID0002
SRID0003,SID0003,RID0007
SRID0004,SID0004,RID0005
SRID0005,SID0005,RID0007
SRID0006,SID0006,RID0005
SRID0007,SID0007,RID0001
SRID0008,SID0008,RID0008
SRID0009,SID0009,RID0010
SRID0010,SID0010,RID0005
SRID0011,SID0011,RID0004
SRID0012,SID0012,RID0010
SRID0013,SID0013,RID0002
SRID0014,SID0014,RID0004
SRID0015,SID0015,RID0006
SRID0016,SID0016,RID0010
SRID0017,SID0017,RID0008
SRID0018,SID0018,RID0003
SRID0019,SID0019,RID0009
SRID0020,SID0020,RID0001
SRID0021,SID0021,RID0001
