Supplier_ID,Supplier_Name,Is_Chain_Owner_Supplier,Total_Assets,Total_Liabilities,Current_Assets,Current_Liabilities,Total_Contracts,Default_Contracts,Total_Compliance_Items,Compliant_Items,Available_Storage,Required_Storage,Total_QMS_Items,Certified_QMS_Items,Latitude,Longitude
SID0001,北京七星华创微电子有限责任公司,0,1426328.56,977324.98,172009.4,972568.14,71,7,85,76,8807.6,18232.76,21,20,39.9042,116.4074
SID0002,深圳市兴森快捷电路科技股份有限公司,0,1773162.34,732748.2,54047.79,556866.02,81,8,111,105,16326.77,17509.41,23,23,22.5431,114.0579
SID0003,成都爱乐达航空制造股份有限公司,0,486106.58,211152.19,123764.58,50331.3,69,0,113,102,4831.9,16788.59,24,23,30.5728,104.0668
SID0004,中航光电科技股份有限公司,0,22868.27,15063.93,14709.26,11563.67,67,5,98,96,5406.63,5354.31,23,21,34.6197,112.454
SID0005,上海上缆神舟线缆有限公司,0,1028343.8,290915.92,112895.92,217234.07,88,0,84,74,7385.78,14259.97,25,22,31.2304,121.4737
SID0006,兰州万里航空机电有限责任公司,0,907529.82,416028.56,834744.89,120980.27,62,4,88,84,18054.91,17514.16,23,23,36.0611,103.8343
SID0007,天津航空机电有限公司,0,52345.22,16610.32,5054.23,4785.04,75,2,111,108,1920.32,3341.75,25,25,39.0842,117.2009
SID0008,中国航空工业集团公司西安飞行自动管理研究所,1,1123547.75,93299.76,393182.01,12352.72,60,1,90,81,4070.31,12859.18,22,19,34.3416,108.9398
SID0009,无锡市江大隔振器有限公司,0,1055823.55,304556.15,733252.31,202654.66,96,4,110,102,6022.66,6910.97,23,22,31.4912,120.3119
SID0010,信阳飞航精密制造有限公司,0,731872.11,480956.22,362591.58,275829.14,98,1,110,106,13497.59,4190.82,24,22,32.1233,114.0679
SID0011,武汉海创电子股份有限公司,0,1678026.63,105356.53,550113.11,14014.1,53,8,51,45,9329.61,15939.65,16,12,30.5928,114.3055
SID0012,南京全信传输科技股份有限公司,0,1068017.22,397929.8,30204.04,30165.99,50,11,51,39,11386.51,19550.19,13,10,32.0603,118.7969
SID0013,合肥江航飞机装备股份有限公司,0,1413610.8,550699.56,1099978.42,132420.53,49,11,55,42,19597.35,5854.96,12,9,31.8206,117.2272
SID0014,贵阳白云中航紧固件有限公司,0,1007137.59,747375.04,875210.63,267651.8,52,11,55,44,14010.23,2377.63,16,12,26.647,106.6302
SID0015,青岛科凯电子研究所有限公司,0,1531805.41,624508.04,464889.1,36027.79,47,8,55,44,8562.63,7348.4,20,16,36.0671,120.3826
SID0016,苏州晶讯科技股份有限公司,0,1183681.34,322613.69,83818.4,8088.25,49,10,75,59,12781.46,6661.82,14,11,31.2989,120.5853
SID0017,厦门军宏电子有限公司,0,465557.91,17210.84,395560.12,10398.08,54,8,67,51,3002.38,19403.3,14,12,24.4798,118.0894
SID0018,珠海阳浦科技有限公司,0,980976.85,400219.06,671657.51,86004.17,37,14,58,37,18177.59,481.77,12,6,22.2707,113.5767
SID0019,宁波中博电器有限公司,0,1626514.64,772745.48,1036959.04,92887.63,38,15,55,30,9688.76,19801.9,11,7,29.8683,121.544
SID0020,太原航空仪表有限公司,0,1110189.32,45842.95,650336.88,33545.26,32,11,43,24,3862.3,14038.31,9,5,37.8706,112.5489
SID0021,沈阳兴华航空电器有限责任公司,0,1245375.92,342274.68,54900.71,322509.95,17,7,27,13,2499.6,720.71,7,3,41.8057,123.4315
