Emergency_Incident_ID,Event_Type,Time_of_the_Incident,First_Response_Time
EIID0001,系统故障,2025-01-01,2025-01-01
EIID0002,自然灾害,2025-01-19,2025-01-25
EIID0003,自然灾害,2025-02-07,2025-02-14
EIID0004,断供,2025-02-25,2025-03-05
EIID0005,断供,2025-03-16,2025-03-25
EIID0006,交付延误,2025-04-03,2025-04-06
EIID0007,断供,2025-04-22,2025-04-26
EIID0008,质量事故,2025-05-10,2025-05-12
EIID0009,交付延误,2025-05-29,2025-05-31
EIID0010,质量事故,2025-06-16,2025-06-17
EIID0011,系统故障,2025-07-05,2025-07-05
EIID0012,系统故障,2025-07-23,2025-07-24
EIID0013,断供,2025-08-11,2025-08-16
EIID0014,自然灾害,2025-08-29,2025-09-04
EIID0015,断供,2025-09-17,2025-09-27
EIID0016,质量事故,2025-10-05,2025-10-06
EIID0017,自然灾害,2025-10-24,2025-11-03
EIID0018,质量事故,2025-11-11,2025-11-12
EIID0019,交付延误,2025-11-30,2025-12-03
EIID0020,自然灾害,2025-12-18,2025-12-27
