dataset_name,file_name,row_count,column_count,description
scenario,scenario.csv,1,9,当前运行情境的基础信息与中文情境名称。
summary,summary.csv,1,59,当前运行的完整单行汇总结果，用于页面概览与分析复核。
kpis,kpis.csv,1,13,首页概览所需的核心指标卡片数据。
policy_start_snapshot,policy_start_snapshot.csv,1,8,恢复动作启动当天的关键指标快照。
time_series,time_series.csv,60,20,业务层、供给层、需求层与恢复动作的日度时间序列。
network_time_series,network_time_series.csv,60,24,网络节点与边状态的日度统计序列。
network_markers,network_markers.csv,5,5,统一时间标记点，包括基线、首次冲击、供应峰值、恢复动作启动和业务恢复。
top_impacted_paths,top_impacted_paths.csv,12,6,用于路径图和表格展示的关键受影响物料清单路径。
policy_events,policy_events.csv,49,10,恢复策略事件时间线及中文策略名称。
artifact_paths,artifact_paths.csv,8,2,前端展示所需图像与衍生文件的实际输出路径。
network_snapshots,network_snapshots.csv,5,5,网络快照清单，逐张列出快照标识、标题、日期与图片路径。
