date,supplier_available_nodes,supplier_degraded_nodes,supplier_disrupted_nodes,material_available_nodes,material_affected_nodes,material_blocked_nodes,assembly_available_nodes,assembly_affected_nodes,assembly_blocked_nodes,product_available_nodes,product_affected_nodes,product_blocked_nodes,supplier_network_active_edges,supplier_network_disrupted_edges,supply_edge_active,supply_edge_backup_active,supply_edge_disrupted,supply_edge_standby,bom_edge_active,bom_edge_disrupted,alternative_edge_standby,alternative_edge_substituted,unknown_edge_count
2025-06-15,15,0,6,9,0,0,13,0,0,1,0,0,48,68,22,0,0,34,39,0,2,0,0
2025-06-16,11,0,10,9,0,0,13,0,0,1,0,0,18,98,22,0,0,34,39,0,2,0,0
2025-06-17,10,0,11,0,9,0,0,13,0,0,1,0,11,105,22,0,0,34,39,0,2,0,0
2025-06-18,9,0,12,0,9,0,0,13,0,0,1,0,7,109,22,0,0,34,39,0,2,0,0
2025-06-19,9,0,12,0,9,0,0,13,0,0,1,0,7,109,22,0,0,34,39,0,2,0,0
2025-06-20,10,0,11,0,9,0,0,13,0,0,1,0,15,101,22,0,0,34,39,0,2,0,0
2025-06-21,10,0,11,0,9,0,0,13,0,0,1,0,15,101,22,0,0,34,39,0,2,0,0
2025-06-22,10,0,11,0,9,0,0,13,0,0,1,0,15,101,22,0,0,34,39,0,2,0,0
2025-06-23,10,0,11,0,9,0,0,13,0,0,1,0,15,101,22,0,0,34,39,0,2,0,0
2025-06-24,10,0,11,9,0,0,13,0,0,1,0,0,15,101,22,1,0,33,39,0,2,0,0
2025-06-25,11,0,10,9,0,0,13,0,0,1,0,0,22,94,22,1,0,33,39,0,2,0,0
2025-06-26,11,0,10,9,0,0,13,0,0,1,0,0,22,94,22,1,0,33,39,0,2,0,0
2025-06-27,11,0,10,9,0,0,13,0,0,1,0,0,22,94,22,1,0,33,39,0,2,0,0
2025-06-28,11,0,10,9,0,0,13,0,0,1,0,0,22,94,22,1,0,33,39,0,2,0,0
2025-06-29,11,0,10,9,0,0,13,0,0,1,0,0,22,94,22,1,0,33,39,0,2,0,0
2025-06-30,12,0,9,9,0,0,13,0,0,1,0,0,29,87,22,1,0,33,39,0,2,0,0
2025-07-01,12,0,9,9,0,0,13,0,0,1,0,0,29,87,22,1,0,33,39,0,2,0,0
2025-07-02,12,0,9,9,0,0,13,0,0,1,0,0,29,87,22,1,0,33,39,0,2,0,0
2025-07-03,13,0,8,9,0,0,13,0,0,1,0,0,36,80,22,1,0,33,39,0,2,0,0
2025-07-04,13,0,8,9,0,0,13,0,0,1,0,0,36,80,22,1,0,33,39,0,2,0,0
2025-07-05,14,0,7,9,0,0,13,0,0,1,0,0,44,72,22,1,0,33,39,0,2,0,0
2025-07-06,14,0,7,9,0,0,13,0,0,1,0,0,44,72,22,1,0,33,39,0,2,0,0
2025-07-07,14,0,7,9,0,0,13,0,0,1,0,0,44,72,22,1,0,33,39,0,2,0,0
2025-07-08,14,0,7,9,0,0,13,0,0,1,0,0,44,72,22,1,0,33,39,0,2,0,0
2025-07-09,14,0,7,9,0,0,13,0,0,1,0,0,44,72,22,1,0,33,39,0,2,0,0
2025-07-10,15,0,6,9,0,0,13,0,0,1,0,0,58,58,22,1,0,33,39,0,2,0,0
2025-07-11,16,0,5,9,0,0,13,0,0,1,0,0,68,48,22,1,0,33,39,0,2,0,0
2025-07-12,16,0,5,9,0,0,13,0,0,1,0,0,68,48,22,1,0,33,39,0,2,0,0
