date,policy_type,action,target_id,target_type,cost,supplier_id,activate_date,strategy_role,policy_type_name
2025-06-15,backup_supplier_switch,schedule_backup_switch,MID0015,item,1241.4652,SID0020,2025-06-28,primary,备供切换
2025-06-15,backup_supplier_switch,schedule_backup_switch,MID0016,item,1200.0,SID0009,2025-06-22,primary,备供切换
2025-06-15,backup_supplier_switch,schedule_backup_switch,MID0022,item,1200.0,SID0017,2025-06-22,primary,备供切换
2025-06-15,backup_supplier_switch,schedule_backup_switch,MID0024,item,2101.9563,SID0017,2025-07-03,primary,备供切换
2025-06-15,priority_repair,schedule_supplier_repair,SID0017,supplier,2500.0,,2025-06-20,parallel_root_repair,优先抢修
2025-06-16,backup_supplier_switch,schedule_backup_switch,MID0012,item,2111.52,SID0016,2025-07-04,primary,备供切换
2025-06-16,backup_supplier_switch,schedule_backup_switch,MID0014,item,1202.0409,SID0019,2025-06-29,primary,备供切换
2025-06-16,backup_supplier_switch,schedule_backup_switch,MID0018,item,2157.6057,SID0007,2025-07-04,primary,备供切换
2025-06-17,backup_supplier_switch,schedule_backup_switch,MID0003,item,2126.0324,SID0002,2025-07-05,primary,备供切换
2025-06-17,backup_supplier_switch,schedule_backup_switch,MID0005,item,1200.0,SID0011,2025-06-24,primary,备供切换
2025-06-17,backup_supplier_switch,schedule_backup_switch,MID0011,item,1206.6962,SID0004,2025-06-30,primary,备供切换
2025-06-17,backup_supplier_switch,schedule_backup_switch,MID0013,item,1207.3579,SID0006,2025-06-30,primary,备供切换
2025-06-17,backup_supplier_switch,schedule_backup_switch,MID0021,item,2186.0739,SID0015,2025-07-05,primary,备供切换
2025-06-17,backup_supplier_switch,schedule_backup_switch,MID0023,item,2109.6695,SID0016,2025-07-05,primary,备供切换
2025-06-20,priority_repair,activate_supplier_repair,SID0017,supplier,300.0,,,parallel_root_repair,优先抢修
2025-06-20,priority_repair,schedule_supplier_repair,SID0011,supplier,2500.0,,2025-06-25,parallel_root_repair,优先抢修
2025-06-22,backup_supplier_switch,activate_backup_switch,MID0016,item,600.0,SID0009,,primary,备供切换
2025-06-22,backup_supplier_switch,activate_backup_switch,MID0022,item,600.0,SID0017,,primary,备供切换
2025-06-24,backup_supplier_switch,activate_backup_switch,MID0005,item,600.0,SID0011,,primary,备供切换
2025-06-25,priority_repair,activate_supplier_repair,SID0011,supplier,300.0,,,parallel_root_repair,优先抢修
2025-06-25,priority_repair,schedule_supplier_repair,SID0015,supplier,2500.0,,2025-06-30,parallel_root_repair,优先抢修
2025-06-27,priority_repair,schedule_material_repair,MID0019,item,1126.7567,,2025-07-02,parallel_root_repair,优先抢修
2025-06-28,backup_supplier_switch,activate_backup_switch,MID0015,item,600.0,SID0020,,primary,备供切换
2025-06-30,priority_repair,activate_supplier_repair,SID0015,supplier,300.0,,,parallel_root_repair,优先抢修
2025-06-30,backup_supplier_switch,activate_backup_switch,MID0013,item,600.0,SID0006,,primary,备供切换
2025-06-30,priority_repair,schedule_supplier_repair,SID0013,supplier,2500.0,,2025-07-05,parallel_root_repair,优先抢修
2025-07-02,priority_repair,activate_material_repair,MID0019,item,300.0,,,parallel_root_repair,优先抢修
2025-07-02,priority_repair,schedule_material_repair,MID0009,item,1236.1628,,2025-07-07,parallel_root_repair,优先抢修
2025-07-03,backup_supplier_switch,activate_backup_switch,MID0024,item,600.0,SID0017,,primary,备供切换
2025-07-04,backup_supplier_switch,activate_backup_switch,MID0012,item,600.0,SID0016,,primary,备供切换
2025-07-04,backup_supplier_switch,activate_backup_switch,MID0018,item,600.0,SID0007,,primary,备供切换
2025-07-05,priority_repair,activate_supplier_repair,SID0013,supplier,300.0,,,parallel_root_repair,优先抢修
2025-07-05,backup_supplier_switch,activate_backup_switch,MID0023,item,600.0,SID0016,,primary,备供切换
2025-07-05,priority_repair,schedule_supplier_repair,SID0016,supplier,2425.0,,2025-07-10,parallel_root_repair,优先抢修
2025-07-07,priority_repair,activate_material_repair,MID0009,item,300.0,,,parallel_root_repair,优先抢修
2025-07-10,priority_repair,activate_supplier_repair,SID0016,supplier,300.0,,,parallel_root_repair,优先抢修
2025-07-10,priority_repair,schedule_supplier_repair,SID0018,supplier,2350.0,,2025-07-15,parallel_root_repair,优先抢修
2025-07-15,priority_repair,activate_supplier_repair,SID0018,supplier,300.0,,,parallel_root_repair,优先抢修
2025-07-15,priority_repair,schedule_supplier_repair,SID0020,supplier,2350.0,,2025-07-20,parallel_root_repair,优先抢修
2025-07-20,priority_repair,activate_supplier_repair,SID0020,supplier,300.0,,,parallel_root_repair,优先抢修
2025-07-20,priority_repair,schedule_supplier_repair,SID0019,supplier,2350.0,,2025-07-25,parallel_root_repair,优先抢修
2025-07-25,priority_repair,activate_supplier_repair,SID0019,supplier,300.0,,,parallel_root_repair,优先抢修
2025-07-25,priority_repair,schedule_supplier_repair,SID0008,supplier,2275.0,,2025-07-30,parallel_root_repair,优先抢修
2025-07-30,priority_repair,activate_supplier_repair,SID0008,supplier,300.0,,,parallel_root_repair,优先抢修
2025-07-30,priority_repair,schedule_supplier_repair,SID0021,supplier,2350.0,,2025-08-04,parallel_root_repair,优先抢修
2025-08-04,priority_repair,activate_supplier_repair,SID0021,supplier,300.0,,,parallel_root_repair,优先抢修
2025-08-04,priority_repair,schedule_supplier_repair,SID0007,supplier,2425.0,,2025-08-09,parallel_root_repair,优先抢修
2025-08-09,priority_repair,activate_supplier_repair,SID0007,supplier,300.0,,,parallel_root_repair,优先抢修
