date,service_level,total_requested_demand,total_fulfilled_demand,demand_fulfillment_rate,system_service_level,supply_degraded_items,supply_unavailable_items,supply_effective_degraded_items,supply_effective_unavailable_items,total_backlog_demand,total_lost_demand,fused_failed_items,affected_key_items,failed_key_items,disrupted_key_suppliers,policy_cumulative_cost,active_backup_switches,active_substitutions,active_priority_repairs
2025-06-15,0.5,15.61144248047491,11.708581860356183,0.75,0.5,3,0,7,0,3.1222884960949813,0.7805721240237453,0,1,0,8,21348.3771,0,0,0
2025-06-16,0.5,18.109273277350894,13.58195495801317,0.75,0.5,3,0,7,0,3.621854655470179,0.9054636638675446,0,1,0,9,23750.418,0,0,0
2025-06-17,0.5,18.508926204851054,13.881694653638291,0.75,0.5,3,0,7,0,3.70178524097021,0.9254463102425525,0,1,0,9,23750.418,0,0,0
2025-06-18,0.5,18.572870673251078,13.92965300493831,0.75,0.5,3,0,7,0,3.7145741346502152,0.9286435336625534,0,1,0,9,23750.418,0,0,0
2025-06-19,0.5,18.583101788195084,13.937326341146314,0.75,0.5,3,0,7,0,3.716620357639016,0.929155089409754,0,1,0,9,23750.418,0,0,0
2025-06-20,0.5,18.584738766586124,13.938554074939592,0.75,0.5,3,0,7,0,3.7169477533172257,0.9292369383293062,0,1,0,8,26550.418,0,0,1
2025-06-21,0.5,18.58500068312869,13.938750512346518,0.75,0.5,3,0,7,0,3.7170001366257384,0.9292500341564343,0,1,0,8,26550.418,0,0,1
2025-06-22,1.0,18.5850425897755,18.5850425897755,1.0,1.0,2,0,2,0,0.0,0.0,0,0,0,8,27750.418,2,0,1
2025-06-23,1.0,15.61144248047491,15.61144248047491,1.0,1.0,2,0,2,0,0.0,0.0,0,0,0,8,28350.418,3,0,1
2025-06-24,1.0,15.61144248047491,15.61144248047491,1.0,1.0,2,0,2,0,0.0,0.0,0,0,0,8,28350.418,3,0,1
2025-06-25,1.0,15.61144248047491,15.61144248047491,1.0,1.0,2,0,2,0,0.0,0.0,0,0,0,8,31150.418,3,0,2
