date,service_level,total_requested_demand,total_fulfilled_demand,demand_fulfillment_rate,system_service_level,supply_degraded_items,supply_unavailable_items,supply_effective_degraded_items,supply_effective_unavailable_items,total_backlog_demand,total_lost_demand,fused_failed_items,affected_key_items,failed_key_items,disrupted_key_suppliers,policy_cumulative_cost,active_backup_switches,active_substitutions,active_priority_repairs
2025-06-15,0.0,15.61144248047491,0.0,0.0,0.0,2,2,2,3,12.489153984379929,3.1222884960949813,3,1,1,0,1116.4572,0,0,0
2025-06-16,0.0,25.602765667978854,0.0,0.0,0.0,2,2,2,3,20.482212534383084,5.12055313359577,3,1,1,0,1116.4572,0,0,0
2025-06-17,0.0,31.997212507981377,0.0,0.0,0.0,2,2,2,3,25.597770006385105,6.399442501596273,3,1,1,0,1116.4572,0,0,0
2025-06-18,0.0,36.089658485582994,0.0,0.0,0.0,2,2,2,3,28.871726788466397,7.217931697116597,3,1,1,0,1116.4572,0,0,0
2025-06-19,0.0,38.70882391124803,0.0,0.0,0.0,2,2,2,3,30.96705912899843,7.741764782249604,3,1,1,0,1116.4572,0,0,0
2025-06-20,0.0,40.38508978367365,0.0,0.0,0.0,2,1,2,3,32.30807182693892,8.077017956734728,3,1,1,0,2553.6464,0,0,1
2025-06-21,0.0,41.457899942026046,0.0,0.0,0.0,2,1,2,3,33.166319953620835,8.29157998840521,3,1,1,0,2553.6464,0,0,1
2025-06-22,0.0,42.144498443371575,0.0,0.0,0.0,2,1,2,3,33.71559875469726,8.428899688674313,3,1,1,0,2553.6464,0,0,1
2025-06-23,0.0,42.58392148423272,0.0,0.0,0.0,2,1,2,3,34.06713718738617,8.516784296846545,3,1,1,0,2553.6464,0,0,1
2025-06-24,0.0,42.86515223038385,0.0,0.0,0.0,2,1,2,3,34.29212178430708,8.573030446076771,3,1,1,0,2553.6464,0,0,1
2025-06-25,1.0,43.04513990792057,43.04513990792057,1.0,1.0,2,0,2,0,0.0,0.0,0,0,0,0,2853.6464,0,0,2
2025-06-26,1.0,15.61144248047491,15.61144248047491,1.0,1.0,2,0,2,0,0.0,0.0,0,0,0,0,2853.6464,0,0,2
2025-06-27,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,3980.4031,0,0,2
2025-06-28,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,3980.4031,0,0,2
2025-06-29,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,3980.4031,0,0,2
2025-06-30,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,3980.4031,0,0,2
2025-07-01,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,3980.4031,0,0,2
2025-07-02,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5516.5659,0,0,3
2025-07-03,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5516.5659,0,0,3
2025-07-04,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5516.5659,0,0,3
2025-07-05,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5516.5659,0,0,3
2025-07-06,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5516.5659,0,0,3
2025-07-07,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5816.5659,0,0,4
2025-07-08,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5816.5659,0,0,4
2025-07-09,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5816.5659,0,0,4
2025-07-10,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5816.5659,0,0,4
2025-07-11,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5816.5659,0,0,4
2025-07-12,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5816.5659,0,0,4
2025-07-13,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5816.5659,0,0,4
2025-07-14,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5816.5659,0,0,4
2025-07-15,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,0,5816.5659,0,0,4
