date,active_suppliers,disrupted_suppliers,degraded_suppliers,affected_items,failed_items,blocked_assemblies,final_product_id,final_product_status,service_level,active_backup_switches,active_substitutions,affected_key_items,failed_key_items,disrupted_key_suppliers,degraded_key_suppliers,affected_non_key_items,failed_non_key_items,disrupted_non_key_suppliers,degraded_non_key_suppliers,supply_available_items,supply_degraded_items,supply_unavailable_items,supply_effective_available_items,supply_effective_degraded_items,supply_effective_unavailable_items,supply_effective_affected_items,supply_blocked_assemblies,supply_affected_products,supply_failed_products,total_requested_demand,total_fulfilled_demand,total_backlog_demand,total_lost_demand,demand_fulfillment_rate,demand_backlog_items,demand_lost_items,demand_backlog_products,demand_lost_products,fused_active_items,fused_affected_items,fused_failed_items,fused_active_products,fused_affected_products,fused_failed_products,system_service_level,system_root_cause,root_cause_supply_constraint_items,root_cause_demand_items,root_cause_mixed_items,root_cause_supply_constraint_products,root_cause_demand_products,root_cause_mixed_products,policy_daily_cost,policy_cumulative_cost,policy_event_count,pending_backup_switches,pending_substitutions,pending_priority_repairs,active_priority_repairs,backup_supplier_switch_daily_cost,backup_supplier_switch_cumulative_cost,equivalent_material_substitution_daily_cost,equivalent_material_substitution_cumulative_cost,priority_repair_daily_cost,priority_repair_cumulative_cost
2025-06-15,21,0,0,5,3,3,MID0006,failed,0.0,0,0,1,1,0,0,4,2,0,0,21,2,2,20,2,3,5,3,1,1,15.61144248047491,0.0,12.489153984379929,3.1222884960949813,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,20,0,1,0,0,1116.4572,1116.4572,1,0,0,1,0,0.0,0.0,0.0,0.0,1116.4572,1116.4572
2025-06-16,21,0,0,5,3,3,MID0006,failed,0.0,0,0,1,1,0,0,4,2,0,0,21,2,2,20,2,3,5,3,1,1,25.602765667978854,0.0,20.482212534383084,5.12055313359577,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,20,0,1,0,0,0.0,1116.4572,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1116.4572
2025-06-17,21,0,0,5,3,3,MID0006,failed,0.0,0,0,1,1,0,0,4,2,0,0,21,2,2,20,2,3,5,3,1,1,31.997212507981377,0.0,25.597770006385105,6.399442501596273,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,20,0,1,0,0,0.0,1116.4572,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1116.4572
2025-06-18,21,0,0,5,3,3,MID0006,failed,0.0,0,0,1,1,0,0,4,2,0,0,21,2,2,20,2,3,5,3,1,1,36.089658485582994,0.0,28.871726788466397,7.217931697116597,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,20,0,1,0,0,0.0,1116.4572,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1116.4572
2025-06-19,21,0,0,5,3,3,MID0006,failed,0.0,0,0,1,1,0,0,4,2,0,0,21,2,2,20,2,3,5,3,1,1,38.70882391124803,0.0,30.96705912899843,7.741764782249604,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,20,0,1,0,0,0.0,1116.4572,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1116.4572
2025-06-20,21,0,0,5,3,3,MID0006,failed,0.0,0,0,1,1,0,0,4,2,0,0,22,2,1,20,2,3,5,3,1,1,40.38508978367365,0.0,32.30807182693892,8.077017956734728,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,20,0,1,0,0,1437.1892,2553.6464,3,0,0,1,1,0.0,0.0,0.0,0.0,1437.1892,2553.6464
2025-06-21,21,0,0,5,3,3,MID0006,failed,0.0,0,0,1,1,0,0,4,2,0,0,22,2,1,20,2,3,5,3,1,1,41.457899942026046,0.0,33.166319953620835,8.29157998840521,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,20,0,1,0,0,0.0,2553.6464,3,0,0,1,1,0.0,0.0,0.0,0.0,0.0,2553.6464
2025-06-22,21,0,0,5,3,3,MID0006,failed,0.0,0,0,1,1,0,0,4,2,0,0,22,2,1,20,2,3,5,3,1,1,42.144498443371575,0.0,33.71559875469726,8.428899688674313,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,20,0,1,0,0,0.0,2553.6464,3,0,0,1,1,0.0,0.0,0.0,0.0,0.0,2553.6464
2025-06-23,21,0,0,5,3,3,MID0006,failed,0.0,0,0,1,1,0,0,4,2,0,0,22,2,1,20,2,3,5,3,1,1,42.58392148423272,0.0,34.06713718738617,8.516784296846545,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,20,0,1,0,0,0.0,2553.6464,3,0,0,1,1,0.0,0.0,0.0,0.0,0.0,2553.6464
2025-06-24,21,0,0,5,3,3,MID0006,failed,0.0,0,0,1,1,0,0,4,2,0,0,22,2,1,20,2,3,5,3,1,1,42.86515223038385,0.0,34.29212178430708,8.573030446076771,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,20,0,1,0,0,0.0,2553.6464,3,0,0,1,1,0.0,0.0,0.0,0.0,0.0,2553.6464
