date,supplier_available_nodes,supplier_degraded_nodes,supplier_disrupted_nodes,material_available_nodes,material_affected_nodes,material_blocked_nodes,assembly_available_nodes,assembly_affected_nodes,assembly_blocked_nodes,product_available_nodes,product_affected_nodes,product_blocked_nodes,supplier_network_active_edges,supplier_network_disrupted_edges,supply_edge_active,supply_edge_backup_active,supply_edge_disrupted,supply_edge_standby,bom_edge_active,bom_edge_disrupted,alternative_edge_standby,alternative_edge_substituted,unknown_edge_count
2025-06-15,6,0,15,0,9,0,0,13,0,0,1,0,0,116,22,0,0,34,39,0,2,0,0
2025-06-16,6,0,15,0,9,0,0,13,0,0,1,0,0,116,22,0,0,34,39,0,2,0,0
2025-06-17,6,0,15,0,9,0,0,13,0,0,1,0,0,116,22,0,0,34,39,0,2,0,0
2025-06-18,6,0,15,0,9,0,0,13,0,0,1,0,0,116,22,0,0,34,39,0,2,0,0
2025-06-19,6,0,15,0,9,0,0,13,0,0,1,0,0,116,22,0,0,34,39,0,2,0,0
2025-06-20,7,0,14,0,9,0,0,13,0,0,1,0,0,116,22,0,0,34,39,0,2,0,0
2025-06-21,9,0,12,0,9,0,0,13,0,0,1,0,7,109,22,0,0,34,39,0,2,0,0
2025-06-22,9,0,12,9,0,0,13,0,0,1,0,0,7,109,22,1,0,33,39,0,2,0,0
2025-06-23,9,0,12,9,0,0,13,0,0,1,0,0,7,109,22,1,0,33,39,0,2,0,0
2025-06-24,9,0,12,9,0,0,13,0,0,1,0,0,7,109,22,1,0,33,39,0,2,0,0
2025-06-25,10,0,11,9,0,0,13,0,0,1,0,0,13,103,22,1,0,33,39,0,2,0,0
2025-06-26,10,0,11,9,0,0,13,0,0,1,0,0,13,103,22,1,0,33,39,0,2,0,0
2025-06-27,10,0,11,9,0,0,13,0,0,1,0,0,13,103,22,1,0,33,39,0,2,0,0
2025-06-28,10,0,11,9,0,0,13,0,0,1,0,0,13,103,22,1,0,33,39,0,2,0,0
2025-06-29,10,0,11,9,0,0,13,0,0,1,0,0,13,103,22,1,0,33,39,0,2,0,0
2025-06-30,11,0,10,9,0,0,13,0,0,1,0,0,19,97,22,1,0,33,39,0,2,0,0
2025-07-01,11,0,10,9,0,0,13,0,0,1,0,0,19,97,22,1,0,33,39,0,2,0,0
2025-07-02,11,0,10,9,0,0,13,0,0,1,0,0,19,97,22,1,0,33,39,0,2,0,0
2025-07-03,11,0,10,9,0,0,13,0,0,1,0,0,19,97,22,1,0,33,39,0,2,0,0
2025-07-04,11,0,10,9,0,0,13,0,0,1,0,0,19,97,22,1,0,33,39,0,2,0,0
2025-07-05,12,0,9,9,0,0,13,0,0,1,0,0,25,91,22,1,0,33,39,0,2,0,0
2025-07-06,12,0,9,9,0,0,13,0,0,1,0,0,25,91,22,1,0,33,39,0,2,0,0
