scenario_id,policy_profile,policy_label,date,day_offset,service_level,system_service_level,demand_fulfillment_rate,active_backup_switches,active_substitutions,active_priority_repairs,policy_cumulative_cost,supplier_disrupted_nodes,material_blocked_nodes,assembly_blocked_nodes,product_blocked_nodes,downstream_interrupted_nodes,total_interrupted_nodes
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-15,0,0.5,0.5,0.75,0,0,0,6861.52,5,0,0,0,0,5
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-16,1,0.5,0.5,0.75,0,0,0,23600.418,13,0,0,0,0,13
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-17,2,0.5,0.5,0.75,0,0,0,23600.418,13,0,0,0,0,13
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-18,3,0.5,0.5,0.75,0,0,0,23600.418,13,0,0,0,0,13
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-19,4,0.5,0.5,0.75,0,0,0,23600.418,13,0,0,0,0,13
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-20,5,0.5,0.5,0.75,0,0,1,26400.418,12,0,0,0,0,12
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-21,6,0.5,0.5,0.75,0,0,1,26400.418,12,0,0,0,0,12
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-22,7,1.0,1.0,1.0,2,0,1,27600.418,12,0,0,0,0,12
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-23,8,1.0,1.0,1.0,3,0,1,28200.418,12,0,0,0,0,12
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-24,9,1.0,1.0,1.0,3,0,1,28200.418,12,0,0,0,0,12
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-25,10,1.0,1.0,1.0,3,0,2,31000.418,11,0,0,0,0,11
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-26,11,1.0,1.0,1.0,3,0,2,31000.418,11,0,0,0,0,11
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-27,12,1.0,1.0,1.0,3,0,2,32236.5808,11,0,0,0,0,11
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-28,13,1.0,1.0,1.0,3,0,2,32236.5808,11,0,0,0,0,11
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-29,14,1.0,1.0,1.0,6,0,2,34036.5808,11,0,0,0,0,11
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-06-30,15,1.0,1.0,1.0,6,0,3,36836.5808,10,0,0,0,0,10
interactive_random_1nodes_sid0004,time_priority_interrupt,当前恢复策略,2025-07-01,16,1.0,1.0,1.0,6,0,3,36836.5808,10,0,0,0,0,10
