date,service_level,total_requested_demand,total_fulfilled_demand,demand_fulfillment_rate,system_service_level,supply_degraded_items,supply_unavailable_items,supply_effective_degraded_items,supply_effective_unavailable_items,total_backlog_demand,total_lost_demand,fused_failed_items,affected_key_items,failed_key_items,disrupted_key_suppliers,policy_cumulative_cost,active_backup_switches,active_substitutions,active_priority_repairs
2025-06-15,0.5,15.61144248047491,11.708581860356183,0.75,0.5,4,0,10,0,3.1222884960949813,0.7805721240237453,0,2,0,7,19495.4765,0,0,0
2025-06-16,0.5,18.109273277350894,13.58195495801317,0.75,0.5,4,0,10,0,3.621854655470179,0.9054636638675446,0,2,0,10,24950.418,0,0,0
2025-06-17,0.5,18.508926204851054,13.881694653638291,0.75,0.5,4,0,10,0,3.70178524097021,0.9254463102425525,0,2,0,10,24950.418,0,0,0
2025-06-18,0.5,18.572870673251078,13.92965300493831,0.75,0.5,4,0,10,0,3.7145741346502152,0.9286435336625534,0,2,0,10,24950.418,0,0,0
2025-06-19,0.5,18.583101788195084,13.937326341146314,0.75,0.5,4,0,10,0,3.716620357639016,0.929155089409754,0,2,0,10,24950.418,0,0,0
2025-06-20,0.5,18.584738766586124,13.938554074939592,0.75,0.5,4,0,10,0,3.7169477533172257,0.9292369383293062,0,2,0,9,27750.418,0,0,1
2025-06-21,0.5,18.58500068312869,13.938750512346518,0.75,0.5,4,0,10,0,3.7170001366257384,0.9292500341564343,0,2,0,9,27750.418,0,0,1
2025-06-22,1.0,18.5850425897755,18.5850425897755,1.0,1.0,2,0,2,0,0.0,0.0,0,0,0,9,30150.418,4,0,1
2025-06-23,1.0,15.61144248047491,15.61144248047491,1.0,1.0,2,0,2,0,0.0,0.0,0,0,0,9,30150.418,4,0,1
2025-06-24,1.0,15.61144248047491,15.61144248047491,1.0,1.0,2,0,2,0,0.0,0.0,0,0,0,9,30150.418,4,0,1
2025-06-25,1.0,15.61144248047491,15.61144248047491,1.0,1.0,2,0,2,0,0.0,0.0,0,0,0,9,32800.418,4,0,2
2025-06-26,1.0,15.61144248047491,15.61144248047491,1.0,1.0,2,0,2,0,0.0,0.0,0,0,0,9,32800.418,4,0,2
2025-06-27,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,9,33927.1747,4,0,2
2025-06-28,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,9,35127.1747,6,0,2
2025-06-29,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,9,35727.1747,7,0,2
2025-06-30,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,9,38527.1747,7,0,3
2025-07-01,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,9,38527.1747,7,0,3
2025-07-02,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,9,40063.3375,7,0,4
2025-07-03,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,8,41263.3375,9,0,4
2025-07-04,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,8,42463.3375,11,0,4
2025-07-05,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,7,45263.3375,11,0,5
2025-07-06,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,7,45263.3375,11,0,5
2025-07-07,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,7,45563.3375,11,0,6
2025-07-08,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,7,45563.3375,11,0,6
2025-07-09,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,7,45563.3375,11,0,6
2025-07-10,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,6,48288.3375,11,0,7
2025-07-11,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,5,48288.3375,11,0,7
2025-07-12,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,5,48288.3375,11,0,7
2025-07-13,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,5,48288.3375,11,0,7
2025-07-14,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,5,48288.3375,11,0,7
2025-07-15,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,4,50938.3375,11,0,8
2025-07-16,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,3,50938.3375,11,0,8
2025-07-17,1.0,15.61144248047491,15.61144248047491,1.0,1.0,0,2,0,2,0.0,0.0,2,0,0,3,50938.3375,11,0,8
