date,active_suppliers,disrupted_suppliers,degraded_suppliers,affected_items,failed_items,blocked_assemblies,final_product_id,final_product_status,service_level,active_backup_switches,active_substitutions,affected_key_items,failed_key_items,disrupted_key_suppliers,degraded_key_suppliers,affected_non_key_items,failed_non_key_items,disrupted_non_key_suppliers,degraded_non_key_suppliers,supply_available_items,supply_degraded_items,supply_unavailable_items,supply_effective_available_items,supply_effective_degraded_items,supply_effective_unavailable_items,supply_effective_affected_items,supply_blocked_assemblies,supply_affected_products,supply_failed_products,total_requested_demand,total_fulfilled_demand,total_backlog_demand,total_lost_demand,demand_fulfillment_rate,demand_backlog_items,demand_lost_items,demand_backlog_products,demand_lost_products,fused_active_items,fused_affected_items,fused_failed_items,fused_active_products,fused_affected_products,fused_failed_products,system_service_level,system_root_cause,root_cause_supply_constraint_items,root_cause_demand_items,root_cause_mixed_items,root_cause_supply_constraint_products,root_cause_demand_products,root_cause_mixed_products,policy_daily_cost,policy_cumulative_cost,policy_event_count,pending_backup_switches,pending_substitutions,pending_priority_repairs,active_priority_repairs,backup_supplier_switch_daily_cost,backup_supplier_switch_cumulative_cost,equivalent_material_substitution_daily_cost,equivalent_material_substitution_cumulative_cost,priority_repair_daily_cost,priority_repair_cumulative_cost
2025-06-15,11,10,0,10,0,0,MID0006,affected,0.5,0,0,2,0,7,0,8,0,3,0,21,4,0,15,10,0,10,0,1,0,15.61144248047491,11.708581860356183,3.1222884960949813,0.7805721240237453,0.75,23,0,1,0,0,25,0,0,1,0,0.5,mixed_pressure,2,21,2,0,0,1,19495.4765,19495.4765,12,11,0,1,0,16995.4765,16995.4765,0.0,0.0,2500.0,2500.0
2025-06-16,7,14,0,10,0,0,MID0006,affected,0.5,0,0,2,0,10,0,8,0,4,0,21,4,0,15,10,0,10,0,1,0,18.109273277350894,13.58195495801317,3.621854655470179,0.9054636638675446,0.75,23,0,1,0,0,25,0,0,1,0,0.5,mixed_pressure,2,21,2,0,0,1,5454.9415,24950.418,15,14,0,1,0,5454.9415,22450.418,0.0,0.0,0.0,2500.0
2025-06-17,7,14,0,10,0,0,MID0006,affected,0.5,0,0,2,0,10,0,8,0,4,0,21,4,0,15,10,0,10,0,1,0,18.508926204851054,13.881694653638291,3.70178524097021,0.9254463102425525,0.75,23,0,1,0,0,25,0,0,1,0,0.5,mixed_pressure,2,21,2,0,0,1,0.0,24950.418,15,14,0,1,0,0.0,22450.418,0.0,0.0,0.0,2500.0
2025-06-18,7,14,0,10,0,0,MID0006,affected,0.5,0,0,2,0,10,0,8,0,4,0,21,4,0,15,10,0,10,0,1,0,18.572870673251078,13.92965300493831,3.7145741346502152,0.9286435336625534,0.75,23,0,1,0,0,25,0,0,1,0,0.5,mixed_pressure,2,21,2,0,0,1,0.0,24950.418,15,14,0,1,0,0.0,22450.418,0.0,0.0,0.0,2500.0
2025-06-19,7,14,0,10,0,0,MID0006,affected,0.5,0,0,2,0,10,0,8,0,4,0,21,4,0,15,10,0,10,0,1,0,18.583101788195084,13.937326341146314,3.716620357639016,0.929155089409754,0.75,23,0,1,0,0,25,0,0,1,0,0.5,mixed_pressure,2,21,2,0,0,1,0.0,24950.418,15,14,0,1,0,0.0,22450.418,0.0,0.0,0.0,2500.0
2025-06-20,8,13,0,10,0,0,MID0006,affected,0.5,0,0,2,0,9,0,8,0,4,0,21,4,0,15,10,0,10,0,1,0,18.584738766586124,13.938554074939592,3.7169477533172257,0.9292369383293062,0.75,23,0,1,0,0,25,0,0,1,0,0.5,mixed_pressure,2,21,2,0,0,1,2800.0,27750.418,17,11,0,1,1,0.0,22450.418,0.0,0.0,2800.0,5300.0
2025-06-21,8,13,0,10,0,0,MID0006,affected,0.5,0,0,2,0,9,0,8,0,4,0,21,4,0,15,10,0,10,0,1,0,18.58500068312869,13.938750512346518,3.7170001366257384,0.9292500341564343,0.75,23,0,1,0,0,25,0,0,1,0,0.5,mixed_pressure,2,21,2,0,0,1,0.0,27750.418,17,11,0,1,1,0.0,22450.418,0.0,0.0,0.0,5300.0
2025-06-22,8,13,0,2,0,0,MID0006,active,1.0,4,0,0,0,9,0,2,0,4,0,23,2,0,23,2,0,2,0,0,0,18.5850425897755,18.5850425897755,0.0,0.0,1.0,0,0,0,0,23,2,0,1,0,0,1.0,stable,2,0,0,0,0,0,2400.0,30150.418,21,7,0,1,1,2400.0,24850.418,0.0,0.0,0.0,5300.0
2025-06-23,8,13,0,2,0,0,MID0006,active,1.0,4,0,0,0,9,0,2,0,4,0,23,2,0,23,2,0,2,0,0,0,15.61144248047491,15.61144248047491,0.0,0.0,1.0,0,0,0,0,23,2,0,1,0,0,1.0,stable,2,0,0,0,0,0,0.0,30150.418,21,7,0,1,1,0.0,24850.418,0.0,0.0,0.0,5300.0
2025-06-24,8,13,0,2,0,0,MID0006,active,1.0,4,0,0,0,9,0,2,0,4,0,23,2,0,23,2,0,2,0,0,0,15.61144248047491,15.61144248047491,0.0,0.0,1.0,0,0,0,0,23,2,0,1,0,0,1.0,stable,2,0,0,0,0,0,0.0,30150.418,21,7,0,1,1,0.0,24850.418,0.0,0.0,0.0,5300.0
