BOM_ID,Material_ID,Downstream_Material_ID,Required_Qty
BOM0001,MID0001,MID0005,1
BOM0002,MID0001,MID0008,1
BOM0003,MID0001,MID0021,4
BOM0004,MID0001,MID0025,1
BOM0005,MID0003,MID0017,5
BOM0006,MID0003,MID0022,8
BOM0007,MID0003,MID0024,4
BOM0008,MID0005,MID0013,5
BOM0009,MID0005,MID0022,9
BOM0010,MID0006,MID0001,3
BOM0011,MID0006,MID0012,1
BOM0012,MID0006,MID0016,2
BOM0013,MID0006,MID0023,2
BOM0014,MID0007,MID0004,5
BOM0015,MID0007,MID0022,4
BOM0016,MID0008,MID0021,8
BOM0017,MID0008,MID0022,5
BOM0018,MID0010,MID0022,6
BOM0019,MID0010,MID0024,5
BOM0020,MID0011,MID0018,6
BOM0021,MID0011,MID0022,4
BOM0022,MID0012,MID0002,9
BOM0023,MID0012,MID0004,7
BOM0024,MID0012,MID0011,1
BOM0025,MID0012,MID0015,1
BOM0026,MID0015,MID0014,6
BOM0027,MID0015,MID0022,4
BOM0028,MID0016,MID0007,1
BOM0029,MID0016,MID0010,2
BOM0030,MID0016,MID0013,5
BOM0031,MID0016,MID0014,4
BOM0032,MID0020,MID0002,6
BOM0033,MID0020,MID0022,4
BOM0034,MID0023,MID0003,1
BOM0035,MID0023,MID0017,6
BOM0036,MID0023,MID0018,5
BOM0037,MID0023,MID0020,2
BOM0038,MID0025,MID0022,5
BOM0039,MID0025,MID0024,6
