Order_ID,Material_ID,Supplier_ID,Theoretical_Capacity,Purchase_Quantity,Material_Unit_Price,Order_Create_Date,Order_Delivery_Date,Promised_Delivery_Date,Defective_Quantity,Incoming_Total_Qty,Is_Qualified_Supplier,Is_Returned,Is_Delayed,Delayed_Delivery_Cost
OID0001,MID0001,SID0001,1094,847,239.42,2025/04/01,2025/04/13,2025/04/13,48,0,1,1,0,0
OID0002,MID0009,SID0001,1017,727,6.05,2025/04/01,2025/04/08,2025/04/11,0,727,1,0,0,0
OID0003,MID0019,SID0001,1040,377,6.13,2025/04/01,2025/04/12,2025/04/13,2,377,0,0,0,0
OID0004,MID0002,SID0002,1411,592,13,2025/04/02,2025/04/11,2025/04/13,4,592,1,0,0,0
OID0005,MID0003,SID0003,1109,411,62.12,2025/04/02,2025/04/12,2025/04/10,2,411,0,0,1,43.48
OID0006,MID0004,SID0004,1437,531,2,2025/04/02,2025/04/19,2025/04/16,0,531,1,0,1,2.1
OID0007,MID0005,SID0005,849,454,35.8,2025/04/02,2025/04/17,2025/04/15,2,454,1,0,1,25.06
OID0008,MID0007,SID0006,880,341,15.11,2025/04/03,2025/04/12,2025/04/13,1,341,1,0,0,0
OID0009,MID0008,SID0007,932,398,106.53,2025/04/03,2025/04/11,2025/04/17,0,398,1,0,0,0
OID0010,MID0010,SID0009,1158,988,28.19,2025/04/03,2025/04/15,2025/04/14,8,988,0,0,1,9.87
OID0011,MID0011,SID0010,947,617,29.93,2025/04/03,2025/04/13,2025/04/14,39,0,1,1,0,0
OID0012,MID0012,SID0011,710,480,221.24,2025/04/04,2025/04/17,2025/04/13,3,480,0,0,1,309.74
OID0013,MID0013,SID0012,798,560,5,2025/04/04,2025/04/16,2025/04/12,4,560,1,0,1,7.0
OID0014,MID0014,SID0013,936,509,6,2025/04/04,2025/04/13,2025/04/14,2,509,1,0,0,0
OID0015,MID0015,SID0014,722,501,42.91,2025/04/04,2025/04/16,2025/04/17,2,501,1,0,0,0
OID0016,MID0016,SID0015,585,313,128.17,2025/04/05,2025/04/13,2025/04/13,1,313,1,0,0,0
OID0017,MID0017,SID0016,835,350,7,2025/04/05,2025/04/11,2025/04/15,2,350,1,0,0,0
OID0018,MID0018,SID0017,627,311,4,2025/04/05,2025/04/16,2025/04/19,2,311,0,0,0,0
OID0019,MID0020,SID0018,474,291,86.26,2025/04/05,2025/04/13,2025/04/13,1,291,1,0,0,0
OID0020,MID0021,SID0019,382,325,12,2025/04/06,2025/04/13,2025/04/18,2,325,1,0,0,0
OID0021,MID0022,SID0020,575,243,1,2025/04/06,2025/04/10,2025/04/15,2,243,1,0,0,0
OID0022,MID0024,SID0020,543,342,4,2025/04/06,2025/04/23,2025/04/19,3,342,1,0,1,5.6
OID0023,MID0019,SID0021,342,256,6.13,2025/04/06,2025/04/14,2025/04/17,2,256,1,0,0,0
OID0024,MID0023,SID0021,327,239,312.55,2025/04/07,2025/04/16,2025/04/18,0,239,1,0,0,0
OID0025,MID0025,SID0021,336,295,30.62,2025/04/07,2025/04/19,2025/04/21,2,295,1,0,0,0
OID0026,MID0023,SID0021,336,148,312.55,2025/04/07,2025/04/23,2025/04/21,7,148,0,0,1,218.78
OID0027,MID0007,SID0006,925,695,15.11,2025/04/07,2025/04/15,2025/04/19,4,695,1,0,0,0
OID0028,MID0005,SID0005,856,317,35.8,2025/04/08,2025/04/15,2025/04/15,2,317,1,0,0,0
OID0029,MID0003,SID0003,1176,804,62.12,2025/04/08,2025/04/10,2025/04/16,6,804,1,0,0,0
OID0030,MID0016,SID0015,616,410,128.17,2025/04/08,2025/04/22,2025/04/18,1,410,1,0,1,179.44
OID0031,MID0015,SID0014,712,440,42.91,2025/04/08,2025/04/12,2025/04/16,40,0,1,1,0,0
OID0032,MID0020,SID0018,499,263,86.26,2025/04/09,2025/04/26,2025/04/23,3,263,1,0,1,90.57
OID0033,MID0020,SID0018,501,374,86.26,2025/04/09,2025/04/21,2025/04/18,2,374,1,0,1,90.57
OID0034,MID0023,SID0021,330,143,312.55,2025/04/09,2025/04/20,2025/04/17,0,143,1,0,1,328.18
