Supplier_Network_ID,Supplier_ID,Supplier_down_ID
SNID0001,SID0001,SID0005
SNID0002,SID0001,SID0007
SNID0003,SID0001,SID0019
SNID0004,SID0001,SID0021
SNID0005,SID0003,SID0016
SNID0006,SID0003,SID0020
SNID0007,SID0005,SID0012
SNID0008,SID0005,SID0020
SNID0009,SID0006,SID0004
SNID0010,SID0006,SID0020
SNID0011,SID0007,SID0019
SNID0012,SID0007,SID0020
SNID0013,SID0008,SID0001
SNID0014,SID0008,SID0011
SNID0015,SID0008,SID0015
SNID0016,SID0008,SID0021
SNID0017,SID0009,SID0020
SNID0018,SID0010,SID0017
SNID0019,SID0010,SID0020
SNID0020,SID0011,SID0002
SNID0021,SID0011,SID0004
SNID0022,SID0011,SID0010
SNID0023,SID0011,SID0014
SNID0024,SID0014,SID0013
SNID0025,SID0014,SID0020
SNID0026,SID0015,SID0006
SNID0027,SID0015,SID0009
SNID0028,SID0015,SID0012
SNID0029,SID0015,SID0013
SNID0030,SID0018,SID0002
SNID0031,SID0018,SID0020
SNID0032,SID0021,SID0003
SNID0033,SID0021,SID0016
SNID0034,SID0021,SID0017
SNID0035,SID0021,SID0018
SNID0036,SID0021,SID0020
