Supplier_ID,Supplier_Name,Is_Chain_Owner_Supplier,Total_Assets,Total_Liabilities,Current_Assets,Current_Liabilities,Total_Contracts,Default_Contracts,Total_Compliance_Items,Compliant_Items,Available_Storage,Required_Storage,Total_QMS_Items,Certified_QMS_Items
SID0001,供应商01,0,1263741.28,440300.96,1224639.17,133005.95,68,2,80,72,3328.94,2344.81,22,19
SID0002,供应商02,0,1055823.55,304556.15,733252.31,202654.66,96,4,110,102,6022.66,6910.97,23,22
SID0003,供应商03,0,731872.11,480956.22,362591.58,275829.14,98,1,110,106,13497.59,4190.82,24,22
SID0004,供应商04,0,1678026.63,105356.53,550113.11,14014.1,95,3,81,79,12219.5,935.03,21,19
SID0005,供应商05,0,993566.51,21073.91,75319.61,6854.4,61,1,116,105,19550.19,2187.91,25,25
SID0006,供应商06,0,1556267.71,280663.65,480876.34,23157.07,65,4,85,75,4543.19,8161.57,21,20
SID0007,供应商07,0,1473419.97,661156.87,128010.24,463147.96,67,4,86,84,1978.72,15656.94,22,21
SID0008,供应商08,1,175885.85,56476.7,64623.98,52585.37,92,5,117,109,7268.03,1416.23,21,18
SID0009,供应商09,0,576078.71,429836.98,430416.66,274697.11,81,0,89,83,4655.58,985.82,25,22
SID0010,供应商10,0,1214337.92,613415.02,864052.45,36875.73,78,2,115,109,19697.24,9125.15,22,22
SID0011,供应商11,0,799009.84,434248.09,726203.46,10460.36,54,7,90,70,12750.69,2404.09,18,14
SID0012,供应商12,0,968876.29,719459.58,645436.65,521999.62,52,12,69,60,5693.63,5151.62,18,14
SID0013,供应商13,0,769714.88,446899.11,148643.63,313685.32,58,9,61,54,7328.97,881.67,13,10
SID0014,供应商14,0,541559.1,302448.38,352777.45,255963.06,51,7,52,44,45.83,15155.04,14,10
SID0015,供应商15,0,186695.62,31762.29,162171.79,5268.95,50,7,89,77,19513.82,17453.76,18,15
SID0016,供应商16,0,188600.2,5607.87,140496.24,2760.24,54,9,64,51,8831.88,17685.49,12,9
SID0017,供应商17,0,985197.96,656498.91,594211.27,63686.5,45,9,87,73,15668.18,15446.63,17,15
SID0018,供应商18,0,962357.36,151887.09,249158.8,30904.6,35,10,44,28,14618.9,19207.45,12,8
SID0019,供应商19,0,1148547.71,636039.75,1053715.67,609868.09,27,7,51,30,13849.19,2331.56,8,4
SID0020,供应商20,0,726210.54,181775.4,462115.36,38941.55,42,11,56,34,10597.42,13400.75,9,5
SID0021,供应商21,0,241270.01,72690.64,15398.75,63154.99,24,9,34,12,10669.36,13526.72,5,2
