Emergency_Incident_ID,Event_Type,Time_of_the_Incident,First_Response_Time
EIID0001,交付延误,2025-04-01,2025-04-04
EIID0002,系统故障,2025-04-19,2025-04-19
EIID0003,质量事故,2025-05-08,2025-05-10
EIID0004,质量事故,2025-05-26,2025-05-26
EIID0005,断供,2025-06-14,2025-06-17
EIID0006,交付延误,2025-07-02,2025-07-05
EIID0007,交付延误,2025-07-21,2025-07-22
EIID0008,自然灾害,2025-08-08,2025-08-13
EIID0009,交付延误,2025-08-27,2025-08-29
EIID0010,断供,2025-09-14,2025-09-18
EIID0011,断供,2025-10-03,2025-10-09
EIID0012,交付延误,2025-10-21,2025-10-23
EIID0013,质量事故,2025-11-09,2025-11-10
EIID0014,断供,2025-11-27,2025-12-07
EIID0015,断供,2025-12-16,2025-12-20
EIID0016,交付延误,2026-01-03,2026-01-06
EIID0017,系统故障,2026-01-22,2026-01-22
EIID0018,断供,2026-02-09,2026-02-12
EIID0019,系统故障,2026-02-28,2026-02-28
EIID0020,交付延误,2026-03-18,2026-03-22
